startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,type,sourceName,value,unit,endDate,Unnamed: 0,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2023-11-11 22:20:00,1800,Aaj Ki Party,Pritam,Bajrangi Bhaijaan,1vmQPVE7vbgSZ12C8MlKX8,StepCount,Casio G-Shock,97.0,count,11/11/23 22:33,,,,,,,,,,,,,,,,,,,,
2023-11-11 23:50:00,26080,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,Audiobiography,4ujalVER2NLazVozUVllxw,StepCount,Casio G-Shock,10.0,count,11/11/23 23:54,80584.0,Mohammed Rafi,Audiobiography,"Gulabi Ankhen - From ""The Train""",60.0,197293.0,False,0.575,0.746,9.0,-6.524,1.0,0.0695,0.667,8.7e-06,0.352,0.731,107.875,4.0,pop-film
2023-11-12 00:10:00,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,StepCount,iPhone 4s,19.0,count,11/12/23 0:17,55086.0,Madan Mohan;Udit Narayan;Javed Akhtar,Veer - Zaara,Main Yahaan Hoon,66.0,295157.0,False,0.484,0.788,4.0,-7.625,0.0,0.0565,0.69,0.0132,0.0939,0.741,171.973,4.0,indian
2023-11-12 00:10:00,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,StepCount,iPhone 4s,19.0,count,11/12/23 0:17,80215.0,Madan Mohan;Udit Narayan;Javed Akhtar,Veer - Zaara,Main Yahaan Hoon,66.0,295157.0,False,0.484,0.788,4.0,-7.625,0.0,0.0565,0.69,0.0132,0.0939,0.741,171.973,4.0,pop-film
2023-11-12 00:10:00,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,StepCount,iPhone 4s,19.0,count,11/12/23 0:17,81972.0,Madan Mohan;Udit Narayan;Javed Akhtar,Veer - Zaara,Main Yahaan Hoon,66.0,295157.0,False,0.484,0.788,4.0,-7.625,0.0,0.0565,0.69,0.0132,0.0939,0.741,171.973,4.0,pop
2023-11-12 00:20:00,33154,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,7sSYkaAXRgnzoQYrGgrvlX,StepCount,Casio G-Shock,2.0,count,11/12/23 0:28,55346.0,Madan Mohan;Lata Mangeshkar;Udit Narayan;Javed Akhtar,Veer - Zaara,Yeh Hum Aa Gaye Hain Kahaan,54.0,343066.0,False,0.48,0.753,5.0,-7.33,0.0,0.0454,0.347,0.000335,0.315,0.462,90.027,4.0,indian
2023-11-13 19:30:00,248760,Tere Liye,Madan Mohan,Veer - Zaara,3i11e2jzUtO3jChiFl3v9x,StepCount,Casio G-Shock,24.0,count,11/13/23 19:35,55129.0,Madan Mohan;Lata Mangeshkar;Roop Kumar Rathod;Javed Akhtar,Veer - Zaara,Tere Liye,63.0,331676.0,False,0.525,0.46,1.0,-8.594,0.0,0.0246,0.826,0.00202,0.139,0.33,98.007,4.0,indian
2023-11-13 19:30:00,248760,Tere Liye,Madan Mohan,Veer - Zaara,3i11e2jzUtO3jChiFl3v9x,StepCount,Casio G-Shock,24.0,count,11/13/23 19:35,80411.0,Madan Mohan;Lata Mangeshkar;Roop Kumar Rathod;Javed Akhtar,Veer - Zaara,Tere Liye,63.0,331676.0,False,0.525,0.46,1.0,-8.594,0.0,0.0246,0.826,0.00202,0.139,0.33,98.007,4.0,pop-film
2023-11-13 20:50:00,207031,Rock On!!,Farhan Akhtar,Rock On,6fABlNfAOylt7ZxfX8K1XL,StepCount,Casio G-Shock,183.0,count,11/13/23 21:03,,,,,,,,,,,,,,,,,,,,
2023-11-13 21:00:00,30031,Pichle Saat Dinon Mein (Live Version),Farhan Akhtar,Rock On,63ideCSFf24cQzGdgg4kjG,StepCount,Casio G-Shock,67.0,count,11/13/23 21:06,,,,,,,,,,,,,,,,,,,,
