startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,value,unit,endDate,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
11/10/23 2:00,22190,Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,7wrYBASu0OoxoDErd4Edxd,60,count/min,11/10/23 2:07,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,Zara Zara,58,298266,FALSE,0.643,0.268,11,-15.073,0,0.09,0.593,2.06E-06,0.316,0.62,143.813
11/10/23 2:20,214346,Tere Naina,Shankar-Ehsaan-Loy,My Name Is Khan (Original Motion Picture Soundtrack),3hoXhwP0ub9LdSJV4olDIc,55,count/min,11/10/23 2:26,Shankar-Ehsaan-Loy;Shafqat Amanat Ali,My Name Is Khan (Original Motion Picture Soundtrack),Tere Naina,62,278546,FALSE,0.522,0.74,0,-7.018,1,0.0465,0.558,0,0.144,0.732,92.618
11/10/23 2:30,228969,Jeena Jeena,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),2GXXZFUxYg2LvG8SR0byOE,54,count/min,11/10/23 2:36,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),Jeena Jeena,72,228969,FALSE,0.682,0.344,5,-8.567,1,0.0281,0.789,0,0.121,0.548,104.984
11/10/23 2:30,228969,Jeena Jeena,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),2GXXZFUxYg2LvG8SR0byOE,54,count/min,11/10/23 2:36,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),Jeena Jeena,72,228969,FALSE,0.682,0.344,5,-8.567,1,0.0281,0.789,0,0.121,0.548,104.984
11/10/23 3:10,106220,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,52,count/min,11/10/23 3:18,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49,300719,FALSE,0.586,0.524,1,-8.576,1,0.0436,0.74,2.98E-06,0.136,0.529,98.077
11/10/23 3:10,106220,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,52,count/min,11/10/23 3:18,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49,300719,FALSE,0.586,0.524,1,-8.576,1,0.0436,0.74,2.98E-06,0.136,0.529,98.077
11/10/23 3:20,144570,Woh Lamhe Woh Baatein,Atif Aslam,Zeher,5fwRhPXAvGgzUxW62ZCvEg,60,count/min,11/10/23 3:27,Atif Aslam,Zeher,Woh Lamhe Woh Baatein,66,320040,FALSE,0.465,0.822,8,-4.826,0,0.066,0.136,0.000442,0.0898,0.405,89.761
11/10/23 3:20,144570,Woh Lamhe Woh Baatein,Atif Aslam,Zeher,5fwRhPXAvGgzUxW62ZCvEg,60,count/min,11/10/23 3:27,Atif Aslam,Zeher,Woh Lamhe Woh Baatein,66,320040,FALSE,0.465,0.822,8,-4.826,0,0.066,0.136,0.000442,0.0898,0.405,89.761
11/10/23 5:00,179930,Tu Meri Dost Hain,Benny Dayal,Yuvvraaj,02N5ZxOVugGQmKeIT0VXUx,102,count/min,11/10/23 5:06,,,,,,,,,,,,,,,,,
11/11/23 20:50,3590,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,95,count/min,11/11/23 20:55,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49,300719,FALSE,0.586,0.524,1,-8.576,1,0.0436,0.74,2.98E-06,0.136,0.529,98.077
