Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
08:00:00.000-07:00,08:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
08:15:00.000-07:00,08:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
08:30:00.000-07:00,08:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
08:45:00.000-07:00,09:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
09:00:00.000-07:00,09:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
09:15:00.000-07:00,09:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
09:30:00.000-07:00,09:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
09:45:00.000-07:00,10:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
10:00:00.000-07:00,10:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
10:15:00.000-07:00,10:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
10:30:00.000-07:00,10:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
10:45:00.000-07:00,11:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
11:00:00.000-07:00,11:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
11:15:00.000-07:00,11:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
11:30:00.000-07:00,11:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
11:45:00.000-07:00,12:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
12:00:00.000-07:00,12:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
12:15:00.000-07:00,12:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
12:30:00.000-07:00,12:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
12:45:00.000-07:00,13:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,15,,,,,,,
13:00:00.000-07:00,13:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
13:15:00.000-07:00,13:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
13:30:00.000-07:00,13:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,3,,,,,,,
13:45:00.000-07:00,14:00:00.000-07:00,,18.744791908183057,3.138230085372925,,,,,,,,,,39,,,,,,,
14:00:00.000-07:00,14:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
14:15:00.000-07:00,14:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
14:30:00.000-07:00,14:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
14:45:00.000-07:00,15:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
15:00:00.000-07:00,15:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
15:15:00.000-07:00,15:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
15:30:00.000-07:00,15:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
15:45:00.000-07:00,16:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
16:00:00.000-07:00,16:15:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
16:15:00.000-07:00,16:30:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
16:30:00.000-07:00,16:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
16:45:00.000-07:00,17:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,,,,,,,,
17:00:00.000-07:00,17:15:00.000-07:00,11,56.554166731071035,,22.0,11,,,,,,,,,,,,,,,660000
17:15:00.000-07:00,17:30:00.000-07:00,15,70.30303030303031,,30.0,15,,,,,,,,,,,,,,,900000
17:30:00.000-07:00,17:45:00.000-07:00,15,70.30303030303031,,30.0,15,,,,,,,,,,,,,,,900000
17:45:00.000-07:00,18:00:00.000-07:00,15,70.30303030303031,,30.0,15,,,,,,,,,,,,,,,900000
18:00:00.000-07:00,18:15:00.000-07:00,15,70.30303030303031,,30.0,15,,,,,,,,,,,,,,,900000
18:15:00.000-07:00,18:30:00.000-07:00,15,70.30303030303031,,30.0,15,,,,,,,,,,,,,,,900000
18:30:00.000-07:00,18:45:00.000-07:00,13,63.4285984561249,,26.0,13,,,,,,,,,,,,,,,780000
18:45:00.000-07:00,19:00:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
19:00:00.000-07:00,19:15:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
19:15:00.000-07:00,19:30:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
19:30:00.000-07:00,19:45:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
19:45:00.000-07:00,20:00:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
20:00:00.000-07:00,20:15:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
20:15:00.000-07:00,20:30:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
20:30:00.000-07:00,20:45:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
20:45:00.000-07:00,21:00:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
21:00:00.000-07:00,21:15:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
21:15:00.000-07:00,21:30:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
21:30:00.000-07:00,21:45:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
21:45:00.000-07:00,22:00:00.000-07:00,,18.744791451239767,,,,,,,,,,,12,,,,,,,
22:00:00.000-07:00,22:15:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
22:15:00.000-07:00,22:30:00.000-07:00,,18.744791451239767,,,,,,,,,,,11,,,,,,,
22:30:00.000-07:00,22:45:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
22:45:00.000-07:00,23:00:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
23:00:00.000-07:00,23:15:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
23:15:00.000-07:00,23:30:00.000-07:00,,18.744791451239767,,,,,,,,,,,,,,,,,,
23:30:00.000-07:00,23:45:00.000-07:00,,22.66015678987638,22.183809280395508,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,46,,,,,46211,,
23:45:00.000-07:00,00:00:00.000-07:00,,18.744789876425507,,,,,,,,,,,,,,,,,,
