Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
00:00:00.000-07:00,00:15:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
00:15:00.000-07:00,00:30:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
00:30:00.000-07:00,00:45:00.000-07:00,,18.744791419495947,,,,,,,,,,,17,,,,,,,
00:45:00.000-07:00,01:00:00.000-07:00,1,18.744791419495947,33.26523971557617,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,53,,,,,,,
01:00:00.000-07:00,01:15:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
01:15:00.000-07:00,01:30:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
01:30:00.000-07:00,01:45:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
01:45:00.000-07:00,02:00:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
02:00:00.000-07:00,02:15:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
02:15:00.000-07:00,02:30:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
02:30:00.000-07:00,02:45:00.000-07:00,,18.744791419495947,18.82938003540039,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,30,,,,,,,
02:45:00.000-07:00,03:00:00.000-07:00,,18.744791419495947,,,,,,,,,,,,,,,,,,
03:00:00.000-07:00,03:15:00.000-07:00,10,89.58159713983197,,20.0,10,,,,,,,,,,,,,,,600000
03:15:00.000-07:00,03:30:00.000-07:00,15,125.0,,30.0,15,,,,,,,,11,,,,,,,900000
03:30:00.000-07:00,03:45:00.000-07:00,15,125.0,,30.0,15,,,,,,,,33,,,,,,,900000
03:45:00.000-07:00,04:00:00.000-07:00,15,125.0,,30.0,15,,,,,,,,12,,,,,,,900000
04:00:00.000-07:00,04:15:00.000-07:00,6,57.25461033202796,80.3386926651001,10.0,5,,,,,0.4270183767680976,0.5603982210159302,0.25546860694885254,180,,,,,54980,,300000
04:15:00.000-07:00,04:30:00.000-07:00,4,27.545414685594444,117.36980819702148,,,,,,,0.6097094240164805,0.8161504864692688,0.31382301449775696,187,,,,,156517,,
04:30:00.000-07:00,04:45:00.000-07:00,5,27.446881731744845,223.85120516238015,,,,,,,0.6079062136867757,1.0350054502487183,0.2719799280166626,352,,,,,145518,3961,
04:45:00.000-07:00,05:00:00.000-07:00,2,22.19497972678183,98.16470593991477,,,,,,,0.3677898409559099,0.5460584759712219,0.27252498269081116,196,,,,,,26286,
05:00:00.000-07:00,05:15:00.000-07:00,1,18.744790335500824,38.91405391693115,,,,,,,0.4173739704560142,0.5067949295043945,0.3024371564388275,104,,,,,,,
05:15:00.000-07:00,05:30:00.000-07:00,1,20.468122445798514,70.29635334014893,,,,,,,0.36069267988204956,0.40756234526634216,0.31382301449775696,138,,,,,30649,,
05:30:00.000-07:00,05:45:00.000-07:00,,21.640870669332095,37.658761978149414,,,,,,,0.3033622205257416,0.31382298469543457,0.2929014563560486,88,,,,,51506,,
05:45:00.000-07:00,06:00:00.000-07:00,1,29.44458760747885,23.222902297973633,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,61,,,,,190293,,
06:00:00.000-07:00,06:15:00.000-07:00,3,30.661024561888027,121.81847953796387,,,,,,,0.3092581881267986,0.39392009377479553,0.2519775927066803,197,,,,,211927,,
06:15:00.000-07:00,06:30:00.000-07:00,2,24.741059134362146,52.72226744890213,,,,,,,0.6357532292604446,0.7987458109855652,0.4727606475353241,114,,,,,106642,,
06:30:00.000-07:00,06:45:00.000-07:00,8,49.97405698867492,135.4175968170166,5.0,5,,,,,1.0476223367602637,1.0977790355682373,0.8955724239349365,257,,,,341889,188856,,
06:45:00.000-07:00,07:00:00.000-07:00,9,48.79993933842576,114.28373908996582,6.0,6,,,,,0.9965321391126944,1.0981580018997192,0.852451503276825,177,,,,386080,120596,,
07:00:00.000-07:00,07:15:00.000-07:00,5,31.455977726167568,174.68190002441406,,,,,,,0.7600423166486244,1.088844656944275,0.3105316460132599,270,,,,,226065,,
07:15:00.000-07:00,07:30:00.000-07:00,2,27.206262232702613,46.4458065032959,,,,,,,0.3365188390016556,0.3592146635055542,0.31382301449775696,77,,,,,150485,,
07:30:00.000-07:00,07:45:00.000-07:00,,18.744791908183057,,,,,,,,,,,12,,,,,,,
07:45:00.000-07:00,08:00:00.000-07:00,,18.744791908183057,,,,,,,,,,,60,,,,,,,
