Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
11:45:00.000-08:00,12:00:00.000-08:00,,18.60156238455788,18.143017588301063,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,28,,,
12:00:00.000-08:00,12:15:00.000-08:00,,18.60156238455788,6.650651158647182,,,,,,,,,,10,,,
12:15:00.000-08:00,12:30:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
12:30:00.000-08:00,12:45:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
12:45:00.000-08:00,13:00:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
13:00:00.000-08:00,13:15:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
13:15:00.000-08:00,13:30:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
13:30:00.000-08:00,13:45:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
13:45:00.000-08:00,14:00:00.000-08:00,,18.60156238455788,,,,,,,,,,,,,,
14:00:00.000-08:00,14:15:00.000-08:00,,18.601562788290767,,,,,,,,,,,23,,,
14:15:00.000-08:00,14:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
14:30:00.000-08:00,14:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
14:45:00.000-08:00,15:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
15:00:00.000-08:00,15:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
15:15:00.000-08:00,15:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
15:30:00.000-08:00,15:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
15:45:00.000-08:00,16:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
16:00:00.000-08:00,16:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
16:15:00.000-08:00,16:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
16:30:00.000-08:00,16:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
16:45:00.000-08:00,17:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
