Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
00:00:00.000-07:00,00:15:00.000-07:00,,18.744789876425507,,,,,,,,,,,27,,,,,,,
00:15:00.000-07:00,00:30:00.000-07:00,,18.744789876425507,,,,,,,,,,,,,,,,,,
00:30:00.000-07:00,00:45:00.000-07:00,,18.744789876425507,,,,,,,,,,,,,,,,,,
00:45:00.000-07:00,01:00:00.000-07:00,,18.744789876425507,,,,,,,,,,,,,,,,,,
01:00:00.000-07:00,01:15:00.000-07:00,,18.744789876425507,,,,,,,,,,,,,,,,,,
01:15:00.000-07:00,01:30:00.000-07:00,,18.744789876425507,,,,,,,,,,,,100.0,100.0,100.0,,,,
01:30:00.000-07:00,01:45:00.000-07:00,,21.115981266982775,,,,,,,,,,,,,,,1368,,,13777
01:45:00.000-07:00,02:00:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
02:00:00.000-07:00,02:15:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
02:15:00.000-07:00,02:30:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
02:30:00.000-07:00,02:45:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
02:45:00.000-07:00,03:00:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
03:00:00.000-07:00,03:15:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
03:15:00.000-07:00,03:30:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
03:30:00.000-07:00,03:45:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
03:45:00.000-07:00,04:00:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
04:00:00.000-07:00,04:15:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
04:15:00.000-07:00,04:30:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
04:30:00.000-07:00,04:45:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
04:45:00.000-07:00,05:00:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
05:00:00.000-07:00,05:15:00.000-07:00,,19.434895582024016,,,,,,,,,,,,,,,,,,
05:15:00.000-07:00,05:30:00.000-07:00,,19.434895582024016,,,,,,,,,,,23,,,,,,,
05:30:00.000-07:00,05:45:00.000-07:00,,19.434895582024016,,,,,,,,,,,27,,,,,,,
05:45:00.000-07:00,06:00:00.000-07:00,1,25.566331606813144,70.998093515605,,,,,,,1.0768719911575317,1.0768719911575317,1.0768719911575317,105,,,,,73027,,
06:00:00.000-07:00,06:15:00.000-07:00,5,37.45372970607694,188.6475133598146,,,,,,,0.5262597678262652,0.9290024638175964,0.2603451609611511,297,,,,,214609,,
06:15:00.000-07:00,06:30:00.000-07:00,2,19.434896092265575,58.72184753417969,,,,,,,0.42086556026454613,0.5582236647605896,0.29360923171043396,121,,,,,,,
06:30:00.000-07:00,06:45:00.000-07:00,,19.434896092265575,10.43943977355957,,,,,,,0.3214113414287567,0.3214113414287567,0.3214113414287567,60,,,,,,,
06:45:00.000-07:00,07:00:00.000-07:00,1,19.434896092265575,63.28910446166992,,,,,,,0.49744214031627065,0.893787682056427,0.3262324929237366,110,,,,,,,
07:00:00.000-07:00,07:15:00.000-07:00,,19.728172663225074,13.090125208392077,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,38,,,,,3493,,
07:15:00.000-07:00,07:30:00.000-07:00,,22.562858488982553,77.74110304783352,,,,,,,0.47873888560927896,0.6454240083694458,0.30448365211486816,139,,,,,37254,,
07:30:00.000-07:00,07:45:00.000-07:00,,52.29853278955605,16.293505668640137,,,,,,,0.2634357288479805,0.28542035818099976,0.24145109951496124,52,,,,,,175987,
07:45:00.000-07:00,08:00:00.000-07:00,3,34.37764109150717,130.76140213012695,,,,,,,0.857735432191093,1.1115862131118774,0.3262324631214142,193,,,,,177972,,
08:00:00.000-07:00,08:15:00.000-07:00,,19.434894100025566,15.659159660339355,,,,,,,0.26098597049713135,0.26098597049713135,0.26098597049713135,24,,,,,,,
08:15:00.000-07:00,08:30:00.000-07:00,,19.434894100025566,,,,,,,,,,,,,,,,,,
08:30:00.000-07:00,08:45:00.000-07:00,1,19.434894100025566,45.62855332909045,,,,,,,0.3262324780225754,0.3262324929237366,0.3262324631214142,70,,,,,,,
08:45:00.000-07:00,09:00:00.000-07:00,,19.434894100025566,3.3063202518421657,,,,,,,,,,5,,,,,,,
09:00:00.000-07:00,09:15:00.000-07:00,,19.434894100025566,,,,,,,,,,,,,,,,,,
09:15:00.000-07:00,09:30:00.000-07:00,,19.434894100025566,,,,,,,,,,,,,,,,,,
09:30:00.000-07:00,09:45:00.000-07:00,,19.434894100025566,,,,,,,,,,,21,,,,,,,
09:45:00.000-07:00,10:00:00.000-07:00,,19.434894100025566,,,,,,,,,,,,,,,,,,
