Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms)
11:00:00.000-08:00,11:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
11:15:00.000-08:00,11:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
11:30:00.000-08:00,11:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
11:45:00.000-08:00,12:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
12:00:00.000-08:00,12:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
12:15:00.000-08:00,12:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
12:30:00.000-08:00,12:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
12:45:00.000-08:00,13:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
13:00:00.000-08:00,13:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
13:15:00.000-08:00,13:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
13:30:00.000-08:00,13:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
13:45:00.000-08:00,14:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
14:00:00.000-08:00,14:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
14:15:00.000-08:00,14:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
14:30:00.000-08:00,14:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
14:45:00.000-08:00,15:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
15:00:00.000-08:00,15:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
