Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms)
09:15:00.000-08:00,09:30:00.000-08:00,7,18.744790875645382,260.3158204966493,,,,,,,0.7463003817250132,1.1710326671600342,0.41386109590530396,460,,,,,429404,
09:30:00.000-08:00,09:45:00.000-08:00,8,18.744790875645382,290.987432319551,,,,,,,0.5855221230032219,0.9410906434059143,0.257935494184494,448,,,,,268613,
09:45:00.000-08:00,10:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
10:00:00.000-08:00,10:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
10:15:00.000-08:00,10:30:00.000-08:00,,18.744790875645382,12.3698091506958,,,,,,,0.557251513004303,0.557251513004303,0.557251513004303,34,,,,,900000,
10:30:00.000-08:00,10:45:00.000-08:00,,18.744790875645382,3.353682518005371,,,,,,,,,,16,,,,,900000,
10:45:00.000-08:00,11:00:00.000-08:00,,18.744790875645382,2.7488465309143066,,,,,,,,,,16,,,,,866005,
11:00:00.000-08:00,11:15:00.000-08:00,,18.744790875645382,21.303561210632324,,,,,,,0.5345423221588135,0.5345423221588135,0.5345423221588135,49,,,,,900000,
11:15:00.000-08:00,11:30:00.000-08:00,,18.744790875645382,2.843873977661133,,,,,,,,,,12,,,,,900000,
11:30:00.000-08:00,11:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
11:45:00.000-08:00,12:00:00.000-08:00,1,18.744790875645382,21.990772247314453,,,,,,,0.8669896125793457,0.8669896125793457,0.8669896125793457,40,,,,,857448,
12:00:00.000-08:00,12:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
12:15:00.000-08:00,12:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
12:30:00.000-08:00,12:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
12:45:00.000-08:00,13:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
13:00:00.000-08:00,13:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
13:15:00.000-08:00,13:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
13:30:00.000-08:00,13:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
13:45:00.000-08:00,14:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
14:00:00.000-08:00,14:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
14:15:00.000-08:00,14:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
14:30:00.000-08:00,14:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
14:45:00.000-08:00,15:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
15:00:00.000-08:00,15:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
15:15:00.000-08:00,15:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
15:30:00.000-08:00,15:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
15:45:00.000-08:00,16:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
16:00:00.000-08:00,16:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
16:15:00.000-08:00,16:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
16:30:00.000-08:00,16:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
16:45:00.000-08:00,17:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
17:00:00.000-08:00,17:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
17:15:00.000-08:00,17:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
17:30:00.000-08:00,17:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
17:45:00.000-08:00,18:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
18:00:00.000-08:00,18:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
18:15:00.000-08:00,18:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
18:30:00.000-08:00,18:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
18:45:00.000-08:00,19:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
19:00:00.000-08:00,19:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
19:15:00.000-08:00,19:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
19:30:00.000-08:00,19:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
19:45:00.000-08:00,20:00:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
20:00:00.000-08:00,20:15:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
20:15:00.000-08:00,20:30:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
20:30:00.000-08:00,20:45:00.000-08:00,,18.744790875645382,,,,,,,,,,,,,,,,900000,
20:45:00.000-08:00,21:00:00.000-08:00,1,18.744790875645382,38.48385238647461,,,,,,,0.7902631759643555,0.7902631759643555,0.7902631759643555,70,,,,,851221,
21:00:00.000-08:00,21:15:00.000-08:00,,18.744790875645382,5.040760517120361,,,,,,,,,,30,,,,,900000,
21:15:00.000-08:00,21:30:00.000-08:00,,18.744790875645382,2.7488465309143066,,,,,,,,,,21,,,,,900000,
21:30:00.000-08:00,21:45:00.000-08:00,,18.744790875645382,18.766706705093384,,,,,,,0.43193763494491577,0.43193763494491577,0.43193763494491577,74,,,,,900000,
21:45:00.000-08:00,22:00:00.000-08:00,,18.744790875645382,9.620962619781494,,,,,,,1.5940900309521593,5.134444236755371,0.5122377276420593,54,,,,,900000,
22:00:00.000-08:00,22:15:00.000-08:00,3,18.744790875645382,161.8171549253485,,,,,,,0.7135441018829767,1.0946797132492065,0.34360581636428833,291,,,,,590433,
22:15:00.000-08:00,22:30:00.000-08:00,,18.744790875645382,57.357273180005826,,,,,,,0.31316146760636415,0.48252272605895996,0.2519775927066803,91,,,,,,
22:30:00.000-08:00,22:45:00.000-08:00,1,18.744790875645382,37.71894078692111,,,,,,,0.5372863411903381,0.5372863411903381,0.5372863411903381,108,,,,,552314,
22:45:00.000-08:00,23:00:00.000-08:00,2,18.744790875645382,104.96460170308438,,,,,,,0.6302772058696758,1.0530085563659668,0.3218289911746979,160,,,,,711732,
23:00:00.000-08:00,23:15:00.000-08:00,1,26.240295914752366,30.924524307250977,,,,,,,0.5430120229721069,0.5430120229721069,0.5430120229721069,53,,,,,753223,102514
23:15:00.000-08:00,23:30:00.000-08:00,,18.74479143029082,,,,,,,,,,,,,,,,,
23:30:00.000-08:00,23:45:00.000-08:00,,21.848165422310206,36.42221689224243,,,,,,,0.4164279015075836,0.47061407566070557,0.3455037474632263,62,,,,,128037,42444
23:45:00.000-08:00,00:00:00.000-08:00,,18.744791415892138,24.368051528930664,,,,,,,1.0073610544204712,1.0073610544204712,1.0073610544204712,42,,,,,900000,
