Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms)
09:00:00.000-08:00,09:15:00.000-08:00,,,,,,,,,,,,,,,,,
09:15:00.000-08:00,09:30:00.000-08:00,,,,,,,,,,,,,,,,,
09:30:00.000-08:00,09:45:00.000-08:00,,,,,,,,,,,,,,,,,
09:45:00.000-08:00,10:00:00.000-08:00,,,,,,,,,,,,,,,,,
10:00:00.000-08:00,10:15:00.000-08:00,,,,,,,,,,,,,,,,,
10:15:00.000-08:00,10:30:00.000-08:00,,,,,,,,,,,,,,,,,
10:30:00.000-08:00,10:45:00.000-08:00,,,,,,,,,,,,,,,,,
10:45:00.000-08:00,11:00:00.000-08:00,,,,,,,,,,,,,,,,,
11:00:00.000-08:00,11:15:00.000-08:00,,,,,,,,,,,,,,,,,
11:15:00.000-08:00,11:30:00.000-08:00,,,,,,,,,,,,,,,,,
11:30:00.000-08:00,11:45:00.000-08:00,,,,,,,,,,,,,,,,,
11:45:00.000-08:00,12:00:00.000-08:00,,,,,,,,,,,,,,,,,
12:00:00.000-08:00,12:15:00.000-08:00,,,,,,,,,,,,,,,,,
12:15:00.000-08:00,12:30:00.000-08:00,,,,,,,,,,,,,,,,,
12:30:00.000-08:00,12:45:00.000-08:00,,,,,,,,,,,,,,,,,
12:45:00.000-08:00,13:00:00.000-08:00,,,,,,,,,,,,,,,,,
13:00:00.000-08:00,13:15:00.000-08:00,,,,,,,,,,,,,,,,,
13:15:00.000-08:00,13:30:00.000-08:00,,,,,,,,,,,,,,,,,
13:30:00.000-08:00,13:45:00.000-08:00,,,,,,,,,,,,,,,,,
13:45:00.000-08:00,14:00:00.000-08:00,,,,,,,,,,,,,,,,,
14:00:00.000-08:00,14:15:00.000-08:00,,,,,,,,,,,,,,,,,
14:15:00.000-08:00,14:30:00.000-08:00,,,,,,,,,,,,,,,,,
14:30:00.000-08:00,14:45:00.000-08:00,,,,,,,,,,,,,,,,,
14:45:00.000-08:00,15:00:00.000-08:00,,,,,,,,,,,,,,,,,
15:00:00.000-08:00,15:15:00.000-08:00,,,,,,,,,,,,,,,,,
15:15:00.000-08:00,15:30:00.000-08:00,,,,,,,,,,,,,,,,,
15:30:00.000-08:00,15:45:00.000-08:00,,,,,,,,,,,,,,,,,
15:45:00.000-08:00,16:00:00.000-08:00,,,,,,,,,,,,,,,,,
16:00:00.000-08:00,16:15:00.000-08:00,,,,,,,,,,,,,,,,,
16:15:00.000-08:00,16:30:00.000-08:00,,,,,,,,,,,,,,,,,
16:30:00.000-08:00,16:45:00.000-08:00,,,,,,,,,,,,,,,,,
16:45:00.000-08:00,17:00:00.000-08:00,,,,,,,,,,,,,,,,,
17:00:00.000-08:00,17:15:00.000-08:00,,,,,,,,,,,,,,,,,
17:15:00.000-08:00,17:30:00.000-08:00,,,,,,,,,,,,,,,,,
17:30:00.000-08:00,17:45:00.000-08:00,,,,,,,,,,,,,,,,,
17:45:00.000-08:00,18:00:00.000-08:00,,,,,,,,,,,,,,,,,
18:00:00.000-08:00,18:15:00.000-08:00,,,,,,,,,,,,,,,,,
18:15:00.000-08:00,18:30:00.000-08:00,,,,,,,,,,,,,,,,,
18:30:00.000-08:00,18:45:00.000-08:00,,,,,,,,,,,,,,,,,
18:45:00.000-08:00,19:00:00.000-08:00,,,,,,,,,,,,,,,,,
19:00:00.000-08:00,19:15:00.000-08:00,,,,,,,,,,,,,,,,,
19:15:00.000-08:00,19:30:00.000-08:00,,,,,,,,,,,,,,,,,
