Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
11:15:00.000-07:00,11:30:00.000-07:00,,19.122395833333332,,,,,,,,,,,,,,,,
11:30:00.000-07:00,11:45:00.000-07:00,,19.122395833333332,,,,,,,,,,,,,,,,
11:45:00.000-07:00,12:00:00.000-07:00,,19.122395833333332,,,,,,,,,,,,,,,,
12:00:00.000-07:00,12:15:00.000-07:00,,19.122395833333332,,,,,,,,,,,,,,,,
12:15:00.000-07:00,12:30:00.000-07:00,,19.122395833333332,,,,,,,,,,,17,,,,,
12:30:00.000-07:00,12:45:00.000-07:00,1,19.122395833333332,38.49543491584599,,,,,,,0.40174325124133453,0.488128419838733,0.31535808264393606,92,,,,,
12:45:00.000-07:00,13:00:00.000-07:00,1,19.122395833333336,37.84296991727232,,,,,,,0.326232475425255,0.326232475425255,0.326232475425255,95,,,,,
13:00:00.000-07:00,13:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
13:15:00.000-07:00,13:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
13:30:00.000-07:00,13:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
13:45:00.000-07:00,14:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
14:00:00.000-07:00,14:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
14:15:00.000-07:00,14:30:00.000-07:00,,19.122395833333336,17.61655496148884,,,,,,,0.25011158278657,0.25011158278657,0.25011158278657,42,,,,,
14:30:00.000-07:00,14:45:00.000-07:00,2,19.122395833333336,69.16128984880805,,,,,,,0.37521360692764233,0.4256889077289602,0.31535808264393606,137,,,,,
14:45:00.000-07:00,15:00:00.000-07:00,2,28.01537290162037,60.67924486735045,,,,,,,0.37354767892937246,0.42086286970731684,0.32623248815142813,103,,,,109598,
15:00:00.000-07:00,15:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
15:15:00.000-07:00,15:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
15:30:00.000-07:00,15:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
15:45:00.000-07:00,16:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
16:00:00.000-07:00,16:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
16:15:00.000-07:00,16:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
16:30:00.000-07:00,16:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
16:45:00.000-07:00,17:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
17:00:00.000-07:00,17:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
17:15:00.000-07:00,17:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
17:30:00.000-07:00,17:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
17:45:00.000-07:00,18:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
18:00:00.000-07:00,18:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
18:15:00.000-07:00,18:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
18:30:00.000-07:00,18:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
18:45:00.000-07:00,19:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
19:00:00.000-07:00,19:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
19:15:00.000-07:00,19:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
19:30:00.000-07:00,19:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
19:45:00.000-07:00,20:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
20:00:00.000-07:00,20:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
20:15:00.000-07:00,20:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
20:30:00.000-07:00,20:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
20:45:00.000-07:00,21:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
21:00:00.000-07:00,21:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
21:15:00.000-07:00,21:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
21:30:00.000-07:00,21:45:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
21:45:00.000-07:00,22:00:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
22:00:00.000-07:00,22:15:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
22:15:00.000-07:00,22:30:00.000-07:00,,19.122395833333336,,,,,,,,,,,,,,,,
22:30:00.000-07:00,22:45:00.000-07:00,1,19.122395833333336,22.836274950078128,,,,,,,0.326232494514515,0.326232494514515,0.326232494514515,35,,,,,
22:45:00.000-07:00,23:00:00.000-07:00,,19.122395833333332,24.79366994579911,,,,,,,0.3262324904957233,0.3262324904957233,0.3262324904957233,38,,,,,
23:00:00.000-07:00,23:15:00.000-07:00,2,19.122395833333332,40.77319812599154,,,,,,,0.32623249242254126,0.32623249242254126,0.32623249242254126,62,,,,,
23:15:00.000-07:00,23:30:00.000-07:00,5,26.463536313078702,122.39061641586449,,,,,,,0.45323253916757095,0.7492421036252565,0.3262325121353724,202,,,,90473,
23:30:00.000-07:00,23:45:00.000-07:00,,19.122395833333332,,,,,,,,,,,,,,,,
23:45:00.000-07:00,00:00:00.000-07:00,,19.122395833333332,21.531344952930805,,,,,,,0.32623248410219113,0.32623248410219113,0.32623248410219113,33,,,,,
