Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-07:00,00:15:00.000-07:00,,19.434894838773335,,,,,,,,,,,,,,,,,
00:15:00.000-07:00,00:30:00.000-07:00,1,19.434894838773335,47.62994384765625,,,,,,,0.5458558350801468,0.819851279258728,0.27186039090156555,73,,,,,,
00:30:00.000-07:00,00:45:00.000-07:00,,19.434894838773335,,,,,,,,,,,18,,,,,,
00:45:00.000-07:00,01:00:00.000-07:00,11,31.34977676956769,522.4392835005089,1.0,1,,,,,0.8342914351729077,1.310276985168457,0.32341545820236206,764,,,,,,63805
01:00:00.000-07:00,01:15:00.000-07:00,2,19.434894026595142,46.608032097025344,,,,,,,0.8883270025253296,0.9216091632843018,0.8550448417663574,111,,,,,,
01:15:00.000-07:00,01:30:00.000-07:00,2,34.681077184935475,105.59027542793964,,,,,,,0.7423260056142499,1.1322897672653198,0.25011155009269714,188,,,,,181586,
01:30:00.000-07:00,01:45:00.000-07:00,1,19.43489653216797,67.20048353945995,,,,,,,0.6912574712090876,0.9951790571212769,0.31535804271698,144,,,,,,
01:45:00.000-07:00,02:00:00.000-07:00,3,19.43489653216797,89.84586715698242,,,,,,,0.6558714210987092,0.9855103492736816,0.3262324929237366,152,,,,,,
02:00:00.000-07:00,02:15:00.000-07:00,4,24.47491862445858,173.21445274353027,,,,,,,0.7998404292658885,1.1509356498718262,0.3626724183559418,279,,,,,60028,
02:15:00.000-07:00,02:30:00.000-07:00,,19.43489407451849,,,,,,,,,,,,,,,,,
02:30:00.000-07:00,02:45:00.000-07:00,6,37.86416591424166,273.01962184906006,,,,,,,0.8730464525944467,1.2746485471725464,0.3262324929237366,383,,,,,,98690
02:45:00.000-07:00,03:00:00.000-07:00,,19.434895123710028,18.9746150970459,,,,,,,,,,24,,,,,,
03:00:00.000-07:00,03:15:00.000-07:00,,19.434895123710028,,,,,,,,,,,30,,,,,,
03:15:00.000-07:00,03:30:00.000-07:00,,19.434895123710028,1.4663047659663349,,,,,,,,,,2,,,,,,
03:30:00.000-07:00,03:45:00.000-07:00,1,19.434895123710028,22.02243424770554,,,,,,,0.3262324631214142,0.3262324631214142,0.3262324631214142,34,,,,,,
03:45:00.000-07:00,04:00:00.000-07:00,,19.434895123710028,,,,,,,,,,,20,,,,,,
04:00:00.000-07:00,04:15:00.000-07:00,,19.43489596904152,,,,,,,,,,,,,,,,,
04:15:00.000-07:00,04:30:00.000-07:00,,19.43489631737946,,,,,,,,,,,,,,,,,
04:30:00.000-07:00,04:45:00.000-07:00,,19.43489631737946,,,,,,,,,,,,,,,,,
04:45:00.000-07:00,05:00:00.000-07:00,,19.43489631737946,22.836275100708008,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,35,,,,,,
05:00:00.000-07:00,05:15:00.000-07:00,,19.43489631737946,,,,,,,,,,,,,,,,,
05:15:00.000-07:00,05:30:00.000-07:00,2,19.43489631737946,69.81375312805176,,,,,,,0.3354763923696534,0.421536386013031,0.3262324631214142,140,,,,,,
05:30:00.000-07:00,05:45:00.000-07:00,2,32.01186735752282,96.67534487906592,,,,,,,0.7973373511553178,1.1194450855255127,0.3272715210914612,143,,,,,149795,
05:45:00.000-07:00,06:00:00.000-07:00,5,38.691097877036185,124.28995532330379,2.0,2,19.835311889648438,75.29242706298828,19.835323333740234,75.2924575805664,0.299226721229078,0.46953442692756653,0.03631414845585823,190,,,,172914,44991,
06:00:00.000-07:00,06:15:00.000-07:00,14,99.87603414572237,9.707099449714418,14.0,14,,,,,,,,15,,,,877688,22312,
06:15:00.000-07:00,06:30:00.000-07:00,,33.567416251800495,13.781640875259642,,,,,,,0.43506181240081787,0.43506181240081787,0.43506181240081787,34,,,,,168322,
06:30:00.000-07:00,06:45:00.000-07:00,1,19.43489565113509,39.80036544799805,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,61,,,,,,
06:45:00.000-07:00,07:00:00.000-07:00,3,34.87502822845875,144.74796390533447,,,,,,,0.7395770593388679,1.182607889175415,0.3262324631214142,224,,,,,183896,
07:00:00.000-07:00,07:15:00.000-07:00,,19.434894804968962,,,,,,,,,,,,,,,,,
07:15:00.000-07:00,07:30:00.000-07:00,,21.213192896289073,4.190423011779785,,,,,,,,,,31,,,,,21180,
07:30:00.000-07:00,07:45:00.000-07:00,1,19.43489327765194,48.93487548828125,,,,,,,0.42860762774944305,0.4347006678581238,0.42251458764076233,107,,,,,,
07:45:00.000-07:00,08:00:00.000-07:00,1,19.43489327765194,52.19719886779785,,,,,,,0.443545326590538,0.5608581900596619,0.3262324631214142,96,,,,,,
08:00:00.000-07:00,08:15:00.000-07:00,,19.43489327765194,17.616554260253906,,,,,,,0.29360923171043396,0.29360923171043396,0.29360923171043396,27,,,,,,
08:15:00.000-07:00,08:30:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
08:30:00.000-07:00,08:45:00.000-07:00,,19.43489327765194,,,,,,,,,,,12,,,,,,
08:45:00.000-07:00,09:00:00.000-07:00,,19.43489327765194,21.53134536743164,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,45,,,,,,
09:00:00.000-07:00,09:15:00.000-07:00,4,19.43489327765194,93.302490234375,,,,,,,0.35178612172603607,0.37733975052833557,0.3262324929237366,143,,,,,,
09:15:00.000-07:00,09:30:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
09:30:00.000-07:00,09:45:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
09:45:00.000-07:00,10:00:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
10:00:00.000-07:00,10:15:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
10:15:00.000-07:00,10:30:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
10:30:00.000-07:00,10:45:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
10:45:00.000-07:00,11:00:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
11:00:00.000-07:00,11:15:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
11:15:00.000-07:00,11:30:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
11:30:00.000-07:00,11:45:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
11:45:00.000-07:00,12:00:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
12:00:00.000-07:00,12:15:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
12:15:00.000-07:00,12:30:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
12:30:00.000-07:00,12:45:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
12:45:00.000-07:00,13:00:00.000-07:00,,19.43489327765194,,,,,,,,,,,,,,,,,
13:00:00.000-07:00,13:15:00.000-07:00,,19.43489327765194,,,,,,,,,,,20,,,,,,
13:15:00.000-07:00,13:30:00.000-07:00,,19.43489327765194,,,,,,,,,,,14,,,,,,
