Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
09:15:00.000-08:00,09:30:00.000-08:00,4,31.64099428726232,231.3129631280899,,,,,,,1.045651780615953,1.189150094985962,0.6394532918930054,333,,,,640380,176377,
09:30:00.000-08:00,09:45:00.000-08:00,1,18.744790992739173,39.8582763671875,,,,,,,0.7498571872711182,0.7498571872711182,0.7498571872711182,75,,,,900000,,
09:45:00.000-08:00,10:00:00.000-08:00,,18.744790992739173,11.682598114013672,,,,,,,0.7606264352798462,0.7606264352798462,0.7606264352798462,25,,,,900000,,
10:00:00.000-08:00,10:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,9,,,,900000,,
10:15:00.000-08:00,10:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
10:30:00.000-08:00,10:45:00.000-08:00,,18.744790992739173,2.0616350173950195,,,,,,,,,,11,,,,900000,,
10:45:00.000-08:00,11:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
11:00:00.000-08:00,11:15:00.000-08:00,,18.744790992739173,18.55471420288086,,,,,,,0.7619410753250122,0.7619410753250122,0.7619410753250122,35,,,,900000,,
11:15:00.000-08:00,11:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
11:30:00.000-08:00,11:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
11:45:00.000-08:00,12:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
12:00:00.000-08:00,12:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
12:15:00.000-08:00,12:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
12:30:00.000-08:00,12:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
12:45:00.000-08:00,13:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
13:00:00.000-08:00,13:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
13:15:00.000-08:00,13:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
13:30:00.000-08:00,13:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
13:45:00.000-08:00,14:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
14:00:00.000-08:00,14:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
14:15:00.000-08:00,14:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
14:30:00.000-08:00,14:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
14:45:00.000-08:00,15:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
15:00:00.000-08:00,15:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
15:15:00.000-08:00,15:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
15:30:00.000-08:00,15:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
15:45:00.000-08:00,16:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
16:00:00.000-08:00,16:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
16:15:00.000-08:00,16:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
16:30:00.000-08:00,16:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
16:45:00.000-08:00,17:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
17:00:00.000-08:00,17:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
17:15:00.000-08:00,17:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
17:30:00.000-08:00,17:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
17:45:00.000-08:00,18:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
18:00:00.000-08:00,18:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
18:15:00.000-08:00,18:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
18:30:00.000-08:00,18:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
18:45:00.000-08:00,19:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
19:00:00.000-08:00,19:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
19:15:00.000-08:00,19:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
19:30:00.000-08:00,19:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
19:45:00.000-08:00,20:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
20:00:00.000-08:00,20:15:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
20:15:00.000-08:00,20:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
20:30:00.000-08:00,20:45:00.000-08:00,,18.744790992739173,,,,,,,,,,,13,,,,900000,,
20:45:00.000-08:00,21:00:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
21:00:00.000-08:00,21:15:00.000-08:00,4,18.744790992739173,156.72714376449585,,,,,,,0.7537836998015774,1.1312761306762695,0.34360581636428833,264,,,,900000,,
21:15:00.000-08:00,21:30:00.000-08:00,,18.744790992739173,,,,,,,,,,,,,,,900000,,
21:30:00.000-08:00,21:45:00.000-08:00,4,24.633698569818627,142.6905574798584,,,,,,,0.7941583153175721,1.06259286403656,0.5885820388793945,241,,,,819459,80541,
21:45:00.000-08:00,22:00:00.000-08:00,1,24.5757896193621,45.16645288467407,,,,,,,0.47904062271118164,0.47904062271118164,0.47904062271118164,103,,,,692700,79749,
22:00:00.000-08:00,22:15:00.000-08:00,,18.744790766339136,17.867502212524414,,,,,,,0.7184751033782959,0.7184751033782959,0.7184751033782959,41,,,,900000,,
22:15:00.000-08:00,22:30:00.000-08:00,3,30.304425891378564,98.80019521713257,,,,,,,0.8299808625199389,0.9281838536262512,0.3243337869644165,183,,,,442996,158098,
22:30:00.000-08:00,22:45:00.000-08:00,,20.981802219707077,,,,,,,,,,,,,,,239446,30595,
22:45:00.000-08:00,23:00:00.000-08:00,,18.744791637161892,3.053086042404175,,,,,,,,,,15,,,,900000,,
23:00:00.000-08:00,23:15:00.000-08:00,,18.744791637161892,21.303561687469482,,,,,,,0.9547059535980225,0.9547059535980225,0.9547059535980225,44,,,,900000,,
23:15:00.000-08:00,23:30:00.000-08:00,1,23.69583125305932,72.47936916351318,,,,,,,0.655227929353714,0.7643100023269653,0.5461458563804626,156,,,,432900,67715,
23:30:00.000-08:00,23:45:00.000-08:00,,18.744791846582526,,,,,,,,,,,19,,,,900000,,
23:45:00.000-08:00,00:00:00.000-08:00,1,18.744791846582526,53.63361835479736,,,,,,,0.9230189069324806,1.3181774616241455,0.2841624319553375,118,,,,575541,,
