14664,"Aug 26, 2024, 4:11:14 AM PST",Entertainment,"trending,viral,informative,mature,entertaining,controversial,educational","professional,high_production,edited","reaction,guide,highlights,showcase,commentary","storytelling,educational,skill_development,entertainment"
14248,"Sep 1, 2024, 8:01:36 PM PST",Entertainment,"trending,viral,entertaining,informative,mature,controversial,educational,family_friendly","professional,high_production,animated","compilation,showcase,commentary,reaction,guide,highlights,analysis,podcast,interview,stream_highlights,review","storytelling,entertainment,social_commentary,promotional,analysis,educational,news,skill_development"
14665,"Aug 26, 2024, 4:11:12 AM PST",Music,"entertaining,trending,informative,mature,viral,educational",professional,"showcase,guide,commentary,highlights,compilation,reaction,analysis","storytelling,educational,entertainment,analysis"
14249,"Sep 1, 2024, 6:53:48 PM PST",Entertainment,"trending,informative,viral,entertaining,controversial,mature,family_friendly","edited,high_production,animated","reaction,showcase,highlights,guide,commentary,analysis,compilation,stream_highlights","social_commentary,analysis,storytelling"
14666,"Aug 26, 2024, 3:52:29 AM PST",Music,"trending,informative,mature,viral,entertaining,educational,controversial,family_friendly","professional,high_production,animated,edited","showcase,guide,highlights,reaction,analysis,commentary,compilation,documentary,review,tutorial","storytelling,educational,analysis,skill_development"
14250,"Sep 1, 2024, 6:50:09 PM PST",Music,"trending,viral,entertaining,informative,controversial",professional,"showcase,compilation,reaction,guide",entertainment
14667,"Aug 26, 2024, 3:47:21 AM PST",Entertainment,"trending,entertaining,informative,viral,educational,family_friendly,controversial,mature",animated,"showcase,reaction,guide,highlights,compilation,commentary","storytelling,promotional,educational,entertainment"
14251,"Sep 1, 2024, 6:46:41 PM PST",Entertainment,"trending,informative,viral,entertaining,mature,educational,family_friendly,controversial","edited,professional,high_production,studio_quality,animated,live_recording","compilation,guide,reaction,commentary,highlights,analysis,stream_highlights,showcase,review,podcast,interview,walkthrough,tutorial,documentary","analysis,social_commentary,news,educational,skill_development,personal_vlog,storytelling,product_review,entertainment,promotional"
14668,"Aug 26, 2024, 3:37:27 AM PST",Music,"trending,informative,mature,entertaining,viral,educational","professional,high_production","showcase,guide,highlights,review,analysis,reaction","educational,skill_development,analysis"
14252,"Sep 1, 2024, 6:44:06 PM PST",Music,"controversial,trending,viral,entertaining","high_production,studio_quality,animated","showcase,documentary,reaction,stream_highlights,highlights,commentary","promotional,entertainment"
