8017,community,ft\.,"Nov 19, 2024, 6:22:52 PM PST",Music
8020,monetization,ad\b,"Sebastian Ingrosso, Tommy Trash, John Martin - Reload  (Official Video)",Music
8022,community,ft\.,"Nov 19, 2024, 4:22:50 PM PST",Music
8031,monetization,ad\b,"Nov 19, 2024, 3:32:47 PM PST",Music
8034,community,ft\.,"Nov 19, 2024, 3:26:15 PM PST",Music
8035,community,feat,"Nov 19, 2024, 3:22:35 PM PST",Music
8037,community,ft\.,"Nov 19, 2024, 2:01:05 PM PST",Music
8042,community,with,"Nov 19, 2024, 1:36:49 PM PST",Music
8051,community,ft\.,"Nov 19, 2024, 8:49:55 AM PST",Entertainment
8052,trending,viral,"Nov 19, 2024, 8:32:13 AM PST",Entertainment
8065,monetization,ad\b,"Nov 19, 2024, 7:08:10 AM PST",Entertainment
8073,community,ft\.,"Nov 18, 2024, 7:46:23 PM PST",Entertainment
8075,trending,shorts,"Nov 18, 2024, 7:43:32 PM PST",Entertainment
8079,trending,trend(?:ing)?,"Nov 18, 2024, 7:42:52 PM PST",Shorts
8079,trending,viral,"Nov 18, 2024, 7:42:52 PM PST",Shorts
8079,trending,shorts,"Nov 18, 2024, 7:42:52 PM PST",Shorts
8091,trending,new,"Nov 18, 2024, 4:02:59 PM PST",Comedy
8091,monetization,ad\b,"Nov 18, 2024, 4:02:59 PM PST",Comedy
8095,monetization,ad\b,"Nov 18, 2024, 2:54:43 PM PST",Comedy
8116,community,ft\.,"Nov 18, 2024, 1:03:44 PM PST",Music
8117,community,ft\.,"Nov 18, 2024, 1:00:14 PM PST",Music
8125,community,with,"Nov 18, 2024, 11:57:37 AM PST",Music
8127,trending,shorts,"Nov 18, 2024, 11:56:39 AM PST",Shorts
8145,community,feat,"Nov 18, 2024, 10:35:28 AM PST",Music
8155,community,feat,"Nov 17, 2024, 10:49:48 PM PST",Music
8162,community,with,"Nov 17, 2024, 9:34:48 PM PST",Music
8164,community,ft\.,"Nov 17, 2024, 9:34:42 PM PST",Music
8168,community,collab,"Nov 17, 2024, 7:19:28 PM PST",Entertainment
8171,trending,shorts,"Nov 17, 2024, 7:18:23 PM PST",Shorts
8174,trending,shorts,"Nov 17, 2024, 7:17:21 PM PST",Shorts
8175,trending,shorts,"Nov 17, 2024, 7:17:05 PM PST",Shorts
8176,community,vs,"Nov 17, 2024, 7:15:42 PM PST",Sports
8177,trending,shorts,"Nov 17, 2024, 7:15:29 PM PST",Shorts
8177,monetization,ad\b,"Nov 17, 2024, 7:15:29 PM PST",Shorts
8180,trending,shorts,"Nov 17, 2024, 7:14:22 PM PST",Music
8189,trending,new,"Nov 17, 2024, 7:07:21 PM PST",Reviews
8195,trending,trend(?:ing)?,"Nov 17, 2024, 3:30:11 PM PST",Shorts
8195,trending,shorts,"Nov 17, 2024, 3:30:11 PM PST",Shorts
8204,community,vs,Varun Mayya,Technology
8206,trending,shorts,"Nov 17, 2024, 3:20:15 PM PST",Shorts
8221,community,ft\.,Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video),Music
8223,community,ft\.,"Nov 17, 2024, 10:29:50 AM PST",Music
8225,trending,shorts,"Nov 17, 2024, 10:24:22 AM PST",Shorts
8227,trending,shorts,"Nov 17, 2024, 10:23:57 AM PST",Shorts
8228,community,feat,Martin Garrix feat. Bonn - No Sleep (Official Video),Music
8229,community,ft\.,"Nov 17, 2024, 9:57:31 AM PST",Music
8230,community,ft\.,"Nov 17, 2024, 9:53:27 AM PST",Music
8235,trending,shorts,"Nov 17, 2024, 2:20:15 AM PST",Entertainment
8235,community,with,"Nov 17, 2024, 2:20:15 AM PST",Entertainment
8240,trending,shorts,"Nov 17, 2024, 2:16:30 AM PST",Shorts
8240,community,with,"Nov 17, 2024, 2:16:30 AM PST",Shorts
8241,trending,shorts,"Nov 17, 2024, 2:16:07 AM PST",Shorts
8241,community,with,"Nov 17, 2024, 2:16:07 AM PST",Shorts
8246,trending,shorts,"Nov 17, 2024, 2:13:52 AM PST",Shorts
