startDate,ms_played,track_name,artist_name,album_name,url,type,sourceName,value,unit,endDate
2023-11-14 20:40:00,51170,Subhanallah Lofi Mix,Pritam,Subhanallah Lofi Mix,spotify:track:1pnC5d46tqFwjqGtbjJPn7,HeartRate,Casio G-Shock,82.0,count/min,11/14/23 20:48
2023-11-14 20:50:00,269200,Daaru Desi,Benny Dayal,Cocktail (Original Motion Picture Soundtrack),spotify:track:5pAo2q7eVt65OSkwYgqhHl,HeartRate,Casio G-Shock,80.0,count/min,11/14/23 20:54
2023-11-14 21:00:00,249707,Subhanallah,Pritam,Yeh Jawaani Hai Deewani,spotify:track:0GQngE2rOYvlKwEQjTAsP8,HeartRate,Casio G-Shock,99.0,count/min,11/14/23 21:05
2023-11-14 21:10:00,265717,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly,HeartRate,Casio G-Shock,77.0,count/min,11/14/23 21:16
2023-11-14 21:20:00,198391,Kabira,Pritam,Yeh Jawaani Hai Deewani,spotify:track:4bD9z9qa4qg9BhryvYWB7c,HeartRate,Casio G-Shock,83.0,count/min,11/14/23 21:22
2023-11-14 21:30:00,66340,"Chaand Taare (From ""Yes Boss"")",Abhijeet,My Best Collection,spotify:track:5Cdd8p9sxRczQX6GFC8CdH,HeartRate,Casio G-Shock,81.0,count/min,11/14/23 21:37
2023-11-15 23:10:00,1130,Main Rang Sharbaton Ka - Reprise,Arijit Singh,Phata Poster Nikhla Hero - Original Motion Picture Soundtrack,spotify:track:2sryZMs4aLRCLbXiOl69lP,HeartRate,Casio G-Shock,86.0,count/min,11/15/23 23:14
2023-11-15 23:20:00,241668,"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,spotify:track:2RgvvnMwtP0R2OkVZmFvnV,HeartRate,Casio G-Shock,90.0,count/min,11/15/23 23:25
2023-11-15 23:30:00,3160,Party On My Mind,Pritam,Race 2,spotify:track:5Rn1DPzSzUktbhuNDDJocS,HeartRate,Casio G-Shock,90.0,count/min,11/15/23 23:39
2023-11-15 23:40:00,471720,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,83.0,count/min,11/15/23 23:45
2023-11-17 00:10:00,318488,Tere Bina Zindagi Se,Lata Mangeshkar,Lata Mangeshkar Songs Geet,spotify:track:4isclMhMivnZzlpBAeXrK7,HeartRate,Casio G-Shock,65.0,count/min,11/17/23 0:16
2023-11-17 00:20:00,252360,Tum Aa Gaye Ho Noor Aa Gaya,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:1NAeCNVQ5WbmdCHysY7Qds,HeartRate,Casio G-Shock,65.0,count/min,11/17/23 0:26
2023-11-17 00:30:00,279386,Aanewala Pal Janewala Hai,Kishore Kumar,Gulzar Kishore,spotify:track:4vtT0OcJ8xyFHtGGmMfkKc,HeartRate,Casio G-Shock,61.0,count/min,11/17/23 0:37
2023-11-17 00:40:00,87600,Bachna Ae Hasinon Lo Main Aa Gaya,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:6Us13koVdX56kworlZTQIk,HeartRate,Casio G-Shock,65.0,count/min,11/17/23 0:44
2023-11-17 21:20:00,26730,Yeh Sham Mastani,Kishore Kumar,Kati Patang,spotify:track:6UeEm5XPsleVD85kNHCu1n,HeartRate,Casio G-Shock,118.0,count/min,11/17/23 21:29
2023-11-17 21:30:00,270733,Hum Dono Do Premi,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:7fyNUqwla8VHtdk2a7lycW,HeartRate,Casio G-Shock,87.0,count/min,11/17/23 21:39
2023-11-17 21:40:00,26779,Ek Main Aur Ek Tu,Asha Bhosle,Khel Khel Mein,spotify:track:0m23fTE5D9lfYyVyfm5RoL,HeartRate,Casio G-Shock,93.0,count/min,11/17/23 21:48
