startDate,ms_played,track_name,artist_name,album_name,url,type,sourceName,value,unit,endDate
2023-11-09 19:20:00,159220,Woh Lamhe Woh Baatein,Atif Aslam,Zeher,spotify:track:5fwRhPXAvGgzUxW62ZCvEg,StepCount,Casio G-Shock,10.0,count,11/9/23 19:24
2023-11-11 20:40:00,1790,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",Abhijeet,Sensational Duets,spotify:track:4hLShJ4RCa2KhqVHD7MRDn,StepCount,iPhone 4s,78.0,count,11/11/23 20:52
2023-11-11 20:50:00,3590,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,24.0,count,11/11/23 21:01
2023-11-11 21:10:00,265238,Neele Neele Ambar Par - Male Version,Kalyanji-Anandji,Kalaakaar (Original Motion Picture Soundtrack),spotify:track:02zPo0Dt0R4TTFY5zLJZnK,StepCount,Casio G-Shock,1.0,count,11/11/23 21:20
2023-11-11 21:30:00,290146,Ek Main Aur Ek Tu,Asha Bhosle,Khel Khel Mein,spotify:track:0m23fTE5D9lfYyVyfm5RoL,StepCount,Casio G-Shock,1.0,count,11/11/23 21:31
2023-11-11 21:40:00,1240,Baad Muddat Unhain - Main Aur Meri Tanhai / Soundtrack Version,Jagjit Singh,Dard-E-Jigar,spotify:track:45lNSRwDxSACwGtblFOak5,StepCount,Casio G-Shock,98.0,count,11/11/23 21:48
2023-11-11 21:50:00,87099,Beqarar Karke Hamen Yun Na Jaiye,Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",spotify:track:2Is7ElE0yrqns54eNSw4Jt,StepCount,Casio G-Shock,113.0,count,11/11/23 22:02
2023-11-11 22:10:00,266145,Ek Ajnabee Haseena Se,Kishore Kumar,Ajanabee,spotify:track:1mPNK9DQVA7gJNtJ20PZu3,StepCount,Casio G-Shock,48.0,count,11/11/23 22:19
2023-11-11 22:20:00,1800,Aaj Ki Party,Pritam,Bajrangi Bhaijaan,spotify:track:1vmQPVE7vbgSZ12C8MlKX8,StepCount,Casio G-Shock,97.0,count,11/11/23 22:33
2023-11-11 23:50:00,26080,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,Audiobiography,spotify:track:4ujalVER2NLazVozUVllxw,StepCount,Casio G-Shock,10.0,count,11/11/23 23:54
2023-11-12 00:10:00,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,spotify:track:3OAFzjwWionh8OfM4kgf2R,StepCount,iPhone 4s,19.0,count,11/12/23 0:17
2023-11-12 00:20:00,33154,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,spotify:track:7sSYkaAXRgnzoQYrGgrvlX,StepCount,Casio G-Shock,2.0,count,11/12/23 0:28
2023-11-13 19:30:00,248760,Tere Liye,Madan Mohan,Veer - Zaara,spotify:track:3i11e2jzUtO3jChiFl3v9x,StepCount,Casio G-Shock,24.0,count,11/13/23 19:35
2023-11-13 20:50:00,207031,Rock On!!,Farhan Akhtar,Rock On,spotify:track:6fABlNfAOylt7ZxfX8K1XL,StepCount,Casio G-Shock,183.0,count,11/13/23 21:03
