,video_category,mental_health_category,avg_score,count
49,Shorts,work-life balance and burnout,0.5192543205287722,180
50,Shorts,mental health education,0.5160497296063197,173
51,Shorts,social anxiety and relationships,0.5864825064391759,173
52,Technology,emotional health discussion,0.5925844862971005,173
53,Technology,work-life balance and burnout,0.5416505625642882,163
54,Technology,mental health education,0.6110808716057252,161
55,Podcast,self-improvement and personal growth,0.8098349542453368,145
56,News,self-improvement and personal growth,0.7503569852298411,142
57,Technology,trauma awareness and healing,0.5472052529664105,142
58,Gaming,self-care practices,0.5537598181296793,136
59,Shorts,sleep and mental wellness,0.5848767553620483,136
60,Podcast,motivation and mental strength,0.7719561471495517,129
61,Shorts,anxiety and stress management,0.47728106788089203,124
62,News,motivation and mental strength,0.7180341213695279,121
63,Technology,therapy and mental health support,0.5588965085645516,120
64,Podcast,mental health experiences,0.7152743685034523,113
65,Shorts,trauma awareness and healing,0.5058677470789543,113
66,Sports,mental health experiences,0.611047574959764,109
67,Technology,anxiety and stress management,0.49855757412456336,105
68,Tutorial,motivation and mental strength,0.6771950469130559,105
69,Reviews,self-improvement and personal growth,0.782359238427419,104
70,News,mental health experiences,0.648752416926201,99
71,Shorts,therapy and mental health support,0.4709812378396793,98
72,Tutorial,self-care practices,0.6641011961868833,98
73,Technology,sleep and mental wellness,0.5491350431417681,97
74,Technology,social anxiety and relationships,0.5477817908713692,95
75,Podcast,self-care practices,0.6357532254558926,94
76,Sports,self-care practices,0.5762418861622393,92
77,Gaming,addiction awareness and recovery,0.5164001622925634,92
78,Podcast,addiction awareness and recovery,0.6592473076148463,88
79,Shorts,depression and emotional support,0.4905308882395427,84
80,Gaming,work-life balance and burnout,0.5495521280737152,84
81,Reviews,self-care practices,0.6743456224600475,84
82,Podcast,emotional health discussion,0.6559513403875072,82
83,Reviews,motivation and mental strength,0.7485256441581395,81
84,Reviews,mental health experiences,0.7153768686600676,81
85,Tutorial,mental health experiences,0.584555103431774,79
86,Sports,addiction awareness and recovery,0.6342467061984233,78
87,Technology,depression and emotional support,0.49900921147603255,78
88,Gaming,emotional health discussion,0.5386982858181,78
89,Podcast,mental health education,0.603228345319822,77
90,Podcast,mindfulness and mental wellness,0.698410635323901,76
91,News,self-care practices,0.5922127950030404,74
92,Gaming,mindfulness and mental wellness,0.6123438332762037,70
93,Sports,mindfulness and mental wellness,0.5504639898152912,68
94,Reviews,emotional health discussion,0.6420837338290997,67
95,News,emotional health discussion,0.596044630729235,65
96,News,addiction awareness and recovery,0.5723934983834621,64
97,Podcast,trauma awareness and healing,0.5773112215101722,64
98,Reviews,mindfulness and mental wellness,0.6865437258966267,64
99,News,mindfulness and mental wellness,0.5757469688692403,62
100,Reviews,addiction awareness and recovery,0.6522111061119261,62
101,Podcast,work-life balance and burnout,0.5594200443048947,61
102,Sports,work-life balance and burnout,0.5641814256707827,60
