timestamp_rounded,category,score
2025-02-07 00:00:00+00:00,addiction awareness and recovery,0.6403943456709384
2025-02-07 00:00:00+00:00,anxiety and stress management,0.44418089613318446
2025-02-07 00:00:00+00:00,depression and emotional support,0.46994029223918915
2025-02-07 00:00:00+00:00,emotional health discussion,0.5995416331448054
2025-02-07 00:00:00+00:00,mental health education,0.6654768533566419
2025-02-07 00:00:00+00:00,mental health experiences,0.7383076406941556
2025-02-07 00:00:00+00:00,mindfulness and mental wellness,0.743140643025622
2025-02-07 00:00:00+00:00,motivation and mental strength,0.7677885142583696
2025-02-07 00:00:00+00:00,self-care practices,0.6854367425495927
2025-02-07 00:00:00+00:00,self-improvement and personal growth,0.8142278982898382
2025-02-07 00:00:00+00:00,sleep and mental wellness,0.535349319003663
2025-02-07 00:00:00+00:00,social anxiety and relationships,0.49469532216748885
2025-02-07 00:00:00+00:00,therapy and mental health support,0.5890328645706177
2025-02-07 00:00:00+00:00,trauma awareness and healing,0.5590521463326046
2025-02-07 00:00:00+00:00,work-life balance and burnout,0.5261713151420866
2025-02-08 00:00:00+00:00,addiction awareness and recovery,0.565121113163669
2025-02-08 00:00:00+00:00,anxiety and stress management,0.4914294578458952
2025-02-08 00:00:00+00:00,depression and emotional support,0.53298501946308
2025-02-08 00:00:00+00:00,emotional health discussion,0.5627189870509837
2025-02-08 00:00:00+00:00,mental health education,0.5664908730983734
2025-02-08 00:00:00+00:00,mental health experiences,0.6578294585962765
2025-02-08 00:00:00+00:00,mindfulness and mental wellness,0.5933777423465953
2025-02-08 00:00:00+00:00,motivation and mental strength,0.7370190291635452
2025-02-08 00:00:00+00:00,self-care practices,0.6034235783079838
2025-02-08 00:00:00+00:00,self-improvement and personal growth,0.7771786537272799
2025-02-08 00:00:00+00:00,sleep and mental wellness,0.5389117242359533
2025-02-08 00:00:00+00:00,social anxiety and relationships,0.5551092107685245
2025-02-08 00:00:00+00:00,therapy and mental health support,0.549081792150225
2025-02-08 00:00:00+00:00,trauma awareness and healing,0.5507609454952941
2025-02-08 00:00:00+00:00,work-life balance and burnout,0.5460229442669795
2025-02-09 00:00:00+00:00,addiction awareness and recovery,0.577216418392687
2025-02-09 00:00:00+00:00,anxiety and stress management,0.4171119312445323
2025-02-09 00:00:00+00:00,depression and emotional support,0.45313367082013023
2025-02-09 00:00:00+00:00,emotional health discussion,0.5778782789196287
2025-02-09 00:00:00+00:00,mental health education,0.5914355597253573
2025-02-09 00:00:00+00:00,mental health experiences,0.6631258728466635
2025-02-09 00:00:00+00:00,mindfulness and mental wellness,0.6571096479892731
2025-02-09 00:00:00+00:00,motivation and mental strength,0.7557002958301064
2025-02-09 00:00:00+00:00,self-care practices,0.663521936506901
2025-02-09 00:00:00+00:00,self-improvement and personal growth,0.7710671850093981
2025-02-09 00:00:00+00:00,sleep and mental wellness,0.5380207002162933
2025-02-09 00:00:00+00:00,social anxiety and relationships,0.5010765768447012
2025-02-09 00:00:00+00:00,therapy and mental health support,0.5524597577750683
2025-02-09 00:00:00+00:00,trauma awareness and healing,0.5341996404162624
2025-02-09 00:00:00+00:00,work-life balance and burnout,0.5392546023501724
2025-02-10 00:00:00+00:00,addiction awareness and recovery,0.5892722974349927
2025-02-10 00:00:00+00:00,anxiety and stress management,0.4649827422367202
2025-02-10 00:00:00+00:00,depression and emotional support,0.5356412117972094
2025-02-10 00:00:00+00:00,emotional health discussion,0.5707361582786806
2025-02-10 00:00:00+00:00,mental health education,0.5844607770442962
2025-02-10 00:00:00+00:00,mental health experiences,0.6916472086310387
2025-02-10 00:00:00+00:00,mindfulness and mental wellness,0.6762156354475625
2025-02-10 00:00:00+00:00,motivation and mental strength,0.7813148147591921
2025-02-10 00:00:00+00:00,self-care practices,0.6678119164504362
2025-02-10 00:00:00+00:00,self-improvement and personal growth,0.798312696789907
2025-02-10 00:00:00+00:00,sleep and mental wellness,0.5556968425001417
2025-02-10 00:00:00+00:00,social anxiety and relationships,0.5092457486133949
2025-02-10 00:00:00+00:00,therapy and mental health support,0.568822482559416
2025-02-10 00:00:00+00:00,trauma awareness and healing,0.518625212488351
2025-02-10 00:00:00+00:00,work-life balance and burnout,0.49375400678166803
2025-02-11 00:00:00+00:00,addiction awareness and recovery,0.5644470968842507
2025-02-11 00:00:00+00:00,anxiety and stress management,0.4581580202953488
2025-02-11 00:00:00+00:00,depression and emotional support,0.505802011767099
2025-02-11 00:00:00+00:00,emotional health discussion,0.6019942256403558
2025-02-11 00:00:00+00:00,mental health education,0.6124637310635553
2025-02-11 00:00:00+00:00,mental health experiences,0.6703969091176987
2025-02-11 00:00:00+00:00,mindfulness and mental wellness,0.6950376900759611
2025-02-11 00:00:00+00:00,motivation and mental strength,0.7593946272059332
2025-02-11 00:00:00+00:00,self-care practices,0.6366395973640939
2025-02-11 00:00:00+00:00,self-improvement and personal growth,0.7880397831692415
2025-02-11 00:00:00+00:00,sleep and mental wellness,0.5650317418788161
2025-02-11 00:00:00+00:00,social anxiety and relationships,0.5335885018986815
2025-02-11 00:00:00+00:00,therapy and mental health support,0.5913886135479189
2025-02-11 00:00:00+00:00,trauma awareness and healing,0.5577885233797133
2025-02-11 00:00:00+00:00,work-life balance and burnout,0.5457261521082658
2025-02-12 00:00:00+00:00,addiction awareness and recovery,0.6528436159020039
2025-02-12 00:00:00+00:00,anxiety and stress management,0.4245369873548809
2025-02-12 00:00:00+00:00,depression and emotional support,0.4597410182742512
2025-02-12 00:00:00+00:00,emotional health discussion,0.6070724094907443
2025-02-12 00:00:00+00:00,mental health education,0.6378839437303871
2025-02-12 00:00:00+00:00,mental health experiences,0.7219026024852481
2025-02-12 00:00:00+00:00,mindfulness and mental wellness,0.7280158020862161
