category,avg_score,count
Education,0.7377303560911599,59
Reviews,0.6627177092613599,132
Vlogs,0.6579423877927991,9
Entertainment,0.6540912080915369,1846
Podcast,0.6500283801278404,215
Sports,0.6443440900227736,214
Technology,0.6424001614795999,512
Comedy,0.6363832981207146,1100
Music,0.6335928790709551,1326
News,0.632720057038064,287
Gaming,0.6307947338330302,424
Tutorial,0.6202102329561615,183
Shorts,0.6070727690634856,817
