category,sentiment,timestamp_str,score,original_timestamp,timestamp
social anxiety and relationships,NEGATIVE,2025-02-07T13:57:24+00:00,0.3968455493450165,2025-02-07 13:57:24+00:00,2025-02-07 13:55:00+00:00
anxiety and stress management,NEGATIVE,2025-02-07T13:57:24+00:00,0.3036346733570099,2025-02-07 13:57:24+00:00,2025-02-07 13:55:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T14:32:44+00:00,0.9412723779678344,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T14:32:44+00:00,0.8875179886817932,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T14:32:44+00:00,0.7672445774078369,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
mental health experiences,POSITIVE,2025-02-07T14:32:44+00:00,0.7286851406097412,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
addiction awareness and recovery,POSITIVE,2025-02-07T14:32:44+00:00,0.5577794909477234,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
self-care practices,POSITIVE,2025-02-07T14:32:44+00:00,0.5193606615066528,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
work-life balance and burnout,POSITIVE,2025-02-07T14:32:44+00:00,0.4774421155452728,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
therapy and mental health support,POSITIVE,2025-02-07T14:32:44+00:00,0.4370651841163635,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
mental health education,POSITIVE,2025-02-07T14:32:44+00:00,0.4204097986221313,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
trauma awareness and healing,POSITIVE,2025-02-07T14:32:44+00:00,0.3833309412002563,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
emotional health discussion,POSITIVE,2025-02-07T14:32:44+00:00,0.3141775131225586,2025-02-07 14:32:44+00:00,2025-02-07 14:35:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T14:35:57+00:00,0.9061912894248962,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
mindfulness and mental wellness,NEGATIVE,2025-02-07T14:35:57+00:00,0.8847180008888245,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
self-improvement and personal growth,NEGATIVE,2025-02-07T14:35:57+00:00,0.8510168194770813,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
self-care practices,NEGATIVE,2025-02-07T14:35:57+00:00,0.7667984962463379,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
mental health experiences,NEGATIVE,2025-02-07T14:35:57+00:00,0.7349649667739868,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
trauma awareness and healing,NEGATIVE,2025-02-07T14:35:57+00:00,0.5910564064979553,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
addiction awareness and recovery,NEGATIVE,2025-02-07T14:35:57+00:00,0.5908264517784119,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
mental health education,NEGATIVE,2025-02-07T14:35:57+00:00,0.5442758798599243,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
therapy and mental health support,NEGATIVE,2025-02-07T14:35:57+00:00,0.499121606349945,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
sleep and mental wellness,NEGATIVE,2025-02-07T14:35:57+00:00,0.4544468820095062,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
emotional health discussion,NEGATIVE,2025-02-07T14:35:57+00:00,0.4314289391040802,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
work-life balance and burnout,NEGATIVE,2025-02-07T14:35:57+00:00,0.3000409305095672,2025-02-07 14:35:57+00:00,2025-02-07 14:35:00+00:00
self-improvement and personal growth,NEGATIVE,2025-02-07T14:36:15+00:00,0.8426176309585571,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T14:36:15+00:00,0.8371571898460388,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
mindfulness and mental wellness,NEGATIVE,2025-02-07T14:36:15+00:00,0.6882864236831665,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
mental health experiences,NEGATIVE,2025-02-07T14:36:15+00:00,0.655126690864563,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
self-care practices,NEGATIVE,2025-02-07T14:36:15+00:00,0.6420681476593018,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
addiction awareness and recovery,NEGATIVE,2025-02-07T14:36:15+00:00,0.5062516331672668,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
sleep and mental wellness,NEGATIVE,2025-02-07T14:36:15+00:00,0.4541588127613067,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
social anxiety and relationships,NEGATIVE,2025-02-07T14:36:15+00:00,0.4174617230892181,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
mental health education,NEGATIVE,2025-02-07T14:36:15+00:00,0.4122725129127502,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
therapy and mental health support,NEGATIVE,2025-02-07T14:36:15+00:00,0.3507422208786011,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
work-life balance and burnout,NEGATIVE,2025-02-07T14:36:15+00:00,0.34592205286026,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
emotional health discussion,NEGATIVE,2025-02-07T14:36:15+00:00,0.3282282650470733,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
depression and emotional support,NEGATIVE,2025-02-07T14:36:15+00:00,0.3114772439002991,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
trauma awareness and healing,NEGATIVE,2025-02-07T14:36:15+00:00,0.3024530708789825,2025-02-07 14:36:15+00:00,2025-02-07 14:35:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T14:36:16+00:00,0.9483206272125244,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
mindfulness and mental wellness,NEGATIVE,2025-02-07T14:36:16+00:00,0.9253380298614502,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
self-improvement and personal growth,NEGATIVE,2025-02-07T14:36:16+00:00,0.9088418483734132,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
mental health experiences,NEGATIVE,2025-02-07T14:36:16+00:00,0.8483813405036926,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
self-care practices,NEGATIVE,2025-02-07T14:36:16+00:00,0.847911536693573,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
sleep and mental wellness,NEGATIVE,2025-02-07T14:36:16+00:00,0.7579212188720703,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
therapy and mental health support,NEGATIVE,2025-02-07T14:36:16+00:00,0.7266696095466614,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
addiction awareness and recovery,NEGATIVE,2025-02-07T14:36:16+00:00,0.7249070405960083,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
mental health education,NEGATIVE,2025-02-07T14:36:16+00:00,0.6849842071533203,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
trauma awareness and healing,NEGATIVE,2025-02-07T14:36:16+00:00,0.6674379706382751,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
emotional health discussion,NEGATIVE,2025-02-07T14:36:16+00:00,0.5575617551803589,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
work-life balance and burnout,NEGATIVE,2025-02-07T14:36:16+00:00,0.5037366151809692,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
depression and emotional support,NEGATIVE,2025-02-07T14:36:16+00:00,0.3731629252433777,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
social anxiety and relationships,NEGATIVE,2025-02-07T14:36:16+00:00,0.3464618027210235,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
anxiety and stress management,NEGATIVE,2025-02-07T14:36:16+00:00,0.3241741955280304,2025-02-07 14:36:16+00:00,2025-02-07 14:35:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T14:41:22+00:00,0.9547269940376282,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T14:41:22+00:00,0.8402542471885681,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T14:41:22+00:00,0.8172486424446106,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
emotional health discussion,POSITIVE,2025-02-07T14:41:22+00:00,0.7104756236076355,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
self-care practices,POSITIVE,2025-02-07T14:41:22+00:00,0.6737340092658997,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
mental health experiences,POSITIVE,2025-02-07T14:41:22+00:00,0.4337387382984161,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
addiction awareness and recovery,POSITIVE,2025-02-07T14:41:22+00:00,0.4257782101631164,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
therapy and mental health support,POSITIVE,2025-02-07T14:41:22+00:00,0.3201899826526642,2025-02-07 14:41:22+00:00,2025-02-07 14:40:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T14:46:08+00:00,0.8847840428352356,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T14:46:08+00:00,0.8613129258155823,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T14:46:08+00:00,0.7783109545707703,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
mental health experiences,POSITIVE,2025-02-07T14:46:08+00:00,0.7750124931335449,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
self-care practices,POSITIVE,2025-02-07T14:46:08+00:00,0.766790509223938,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
mental health education,POSITIVE,2025-02-07T14:46:08+00:00,0.6915080547332764,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
addiction awareness and recovery,POSITIVE,2025-02-07T14:46:08+00:00,0.5902513861656189,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
therapy and mental health support,POSITIVE,2025-02-07T14:46:08+00:00,0.5473326444625854,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
work-life balance and burnout,POSITIVE,2025-02-07T14:46:08+00:00,0.5410096049308777,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
emotional health discussion,POSITIVE,2025-02-07T14:46:08+00:00,0.5408382415771484,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
trauma awareness and healing,POSITIVE,2025-02-07T14:46:08+00:00,0.4846050143241882,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
social anxiety and relationships,POSITIVE,2025-02-07T14:46:08+00:00,0.3708145022392273,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
sleep and mental wellness,POSITIVE,2025-02-07T14:46:08+00:00,0.3025901615619659,2025-02-07 14:46:08+00:00,2025-02-07 14:45:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T14:49:06+00:00,0.945906102657318,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T14:49:06+00:00,0.9333374500274658,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T14:49:06+00:00,0.7876729369163513,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
mental health experiences,POSITIVE,2025-02-07T14:49:06+00:00,0.7720817923545837,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
addiction awareness and recovery,POSITIVE,2025-02-07T14:49:06+00:00,0.7691251039505005,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
self-care practices,POSITIVE,2025-02-07T14:49:06+00:00,0.7412260174751282,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
mental health education,POSITIVE,2025-02-07T14:49:06+00:00,0.6883550882339478,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
work-life balance and burnout,POSITIVE,2025-02-07T14:49:06+00:00,0.6859498620033264,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
therapy and mental health support,POSITIVE,2025-02-07T14:49:06+00:00,0.5681455731391907,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
trauma awareness and healing,POSITIVE,2025-02-07T14:49:06+00:00,0.5492822527885437,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
anxiety and stress management,POSITIVE,2025-02-07T14:49:06+00:00,0.4632114470005035,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
emotional health discussion,POSITIVE,2025-02-07T14:49:06+00:00,0.4243456423282623,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
depression and emotional support,POSITIVE,2025-02-07T14:49:06+00:00,0.4072204232215881,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
sleep and mental wellness,POSITIVE,2025-02-07T14:49:06+00:00,0.3493436872959137,2025-02-07 14:49:06+00:00,2025-02-07 14:50:00+00:00
mindfulness and mental wellness,NEGATIVE,2025-02-07T14:52:11+00:00,0.9648472666740416,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
self-improvement and personal growth,NEGATIVE,2025-02-07T14:52:11+00:00,0.9358087778091432,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T14:52:11+00:00,0.9346498847007751,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
mental health experiences,NEGATIVE,2025-02-07T14:52:11+00:00,0.8436838388442993,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
self-care practices,NEGATIVE,2025-02-07T14:52:11+00:00,0.8318228721618652,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
mental health education,NEGATIVE,2025-02-07T14:52:11+00:00,0.6920688152313232,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
addiction awareness and recovery,NEGATIVE,2025-02-07T14:52:11+00:00,0.6875787377357483,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
trauma awareness and healing,NEGATIVE,2025-02-07T14:52:11+00:00,0.6691858172416687,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
therapy and mental health support,NEGATIVE,2025-02-07T14:52:11+00:00,0.6519619822502136,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
emotional health discussion,NEGATIVE,2025-02-07T14:52:11+00:00,0.5882481336593628,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
