ds,y
2025-01-18 00:00:00+00:00,0.6342161853205074
2025-01-19 00:00:00+00:00,0.6131448894248981
2025-01-20 00:00:00+00:00,0.6487964808047934
2025-01-21 00:00:00+00:00,0.6486579252177809
2025-01-22 00:00:00+00:00,0.6635966146039585
2025-01-23 00:00:00+00:00,0.6506039970589482
2025-01-24 00:00:00+00:00,0.6532958550602386
2025-01-25 00:00:00+00:00,0.6289547585116493
2025-01-26 00:00:00+00:00,0.645086799003903
2025-01-27 00:00:00+00:00,0.6406201992876235
2025-01-28 00:00:00+00:00,0.6358416904737284
2025-01-29 00:00:00+00:00,0.6431025736706538
2025-01-30 00:00:00+00:00,0.6399624524302814
2025-01-31 00:00:00+00:00,0.645164689656054
2025-02-01 00:00:00+00:00,0.650165120423215
2025-02-02 00:00:00+00:00,0.6171581202740987
2025-02-03 00:00:00+00:00,0.6493727103866153
2025-02-04 00:00:00+00:00,0.5983442723205904
2025-02-05 00:00:00+00:00,0.6537543518874493
2025-02-06 00:00:00+00:00,0.6558367939822025
2025-02-07 00:00:00+00:00,0.6353606056649537
2025-02-08 00:00:00+00:00,0.6275583177165412
2025-02-09 00:00:00+00:00,0.628722069557106
2025-02-10 00:00:00+00:00,0.6372610983040634
2025-02-11 00:00:00+00:00,0.6395355614831595
2025-02-12 00:00:00+00:00,0.6474661170394913
2025-02-13 00:00:00+00:00,0.610365487959074
