date,total_videos,addiction,doom_scrolling,escapism,negative_mood,unhealthy_comparison,rabbit_holes,addiction_pct,doom_scrolling_pct,escapism_pct,negative_mood_pct,unhealthy_comparison_pct,rabbit_holes_pct
2024-02-25,28,0.0,21.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
2024-02-26,188,83.0,49.0,0.0,0.0,17.0,6.0,44.1,26.1,0.0,0.0,9.0,3.2
2024-02-27,60,28.0,14.0,0.0,0.0,3.0,7.0,46.7,23.3,0.0,0.0,5.0,11.7
2024-02-28,90,27.0,14.0,0.0,0.0,2.0,4.0,30.0,15.6,0.0,0.0,2.2,4.4
2024-02-29,148,64.0,11.0,0.0,0.0,8.0,3.0,43.2,7.4,0.0,0.0,5.4,2.0
2024-03-01,77,6.0,21.0,0.0,0.0,8.0,1.0,7.8,27.3,0.0,0.0,10.4,1.3
2024-03-02,98,50.0,15.0,0.0,0.0,4.0,7.0,51.0,15.3,0.0,0.0,4.1,7.1
2024-03-03,69,51.0,18.0,0.0,0.0,6.0,11.0,73.9,26.1,0.0,0.0,8.7,15.9
2024-03-04,58,36.0,12.0,0.0,0.0,1.0,3.0,62.1,20.7,0.0,0.0,1.7,5.2
2024-03-05,63,54.0,27.0,0.0,0.0,3.0,2.0,85.7,42.9,0.0,0.0,4.8,3.2
2024-03-06,86,0.0,38.0,0.0,0.0,9.0,0.0,0.0,44.2,0.0,0.0,10.5,0.0
2024-03-07,121,52.0,32.0,0.0,0.0,9.0,10.0,43.0,26.4,0.0,0.0,7.4,8.3
2024-03-08,79,28.0,31.0,0.0,0.0,2.0,8.0,35.4,39.2,0.0,0.0,2.5,10.1
2024-03-09,54,6.0,12.0,0.0,0.0,4.0,0.0,11.1,22.2,0.0,0.0,7.4,0.0
2024-03-10,145,63.0,14.0,0.0,0.0,12.0,10.0,43.4,9.7,0.0,0.0,8.3,6.9
2024-03-11,84,23.0,27.0,0.0,0.0,6.0,1.0,27.4,32.1,0.0,0.0,7.1,1.2
2024-03-12,98,19.0,14.0,98.0,0.0,2.0,5.0,19.4,14.3,100.0,0.0,2.0,5.1
2024-03-13,88,26.0,12.0,0.0,0.0,1.0,10.0,29.5,13.6,0.0,0.0,1.1,11.4
2024-03-14,59,15.0,12.0,0.0,0.0,7.0,11.0,25.4,20.3,0.0,0.0,11.9,18.6
2024-03-15,157,59.0,24.0,0.0,0.0,15.0,11.0,37.6,15.3,0.0,0.0,9.6,7.0
2024-03-16,88,0.0,20.0,0.0,0.0,7.0,1.0,0.0,22.7,0.0,0.0,8.0,1.1
2024-03-17,49,30.0,21.0,0.0,0.0,9.0,3.0,61.2,42.9,0.0,0.0,18.4,6.1
2024-03-18,91,13.0,48.0,0.0,0.0,16.0,7.0,14.3,52.7,0.0,0.0,17.6,7.7
2024-03-19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,67,2.0,14.0,0.0,0.0,7.0,7.0,3.0,20.9,0.0,0.0,10.4,10.4
2024-03-21,58,30.0,20.0,0.0,0.0,5.0,5.0,51.7,34.5,0.0,0.0,8.6,8.6
2024-03-22,103,61.0,15.0,103.0,0.0,8.0,0.0,59.2,14.6,100.0,0.0,7.8,0.0
2024-03-23,98,79.0,31.0,0.0,0.0,11.0,2.0,80.6,31.6,0.0,0.0,11.2,2.0
2024-03-24,56,8.0,11.0,0.0,0.0,0.0,0.0,14.3,19.6,0.0,0.0,0.0,0.0
2024-03-25,55,15.0,26.0,0.0,0.0,6.0,0.0,27.3,47.3,0.0,0.0,10.9,0.0
