hour,addiction,addiction_rolling,doom_scrolling,doom_scrolling_rolling,escapism,escapism_rolling,negative_mood,negative_mood_rolling,unhealthy_comparison,unhealthy_comparison_rolling,rabbit_holes,rabbit_holes_rolling
2024-02-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 02:00:00+00:00,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 03:00:00+00:00,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 04:00:00+00:00,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 05:00:00+00:00,37.0,6.5,37.0,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 06:00:00+00:00,0.0,5.571428571428571,22.0,8.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 07:00:00+00:00,0.0,4.875,0.0,7.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 08:00:00+00:00,0.0,4.333333333333333,0.0,6.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26 09:00:00+00:00,0.0,3.9,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6
2024-02-26 10:00:00+00:00,0.0,3.5454545454545454,0.0,5.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454
2024-02-26 11:00:00+00:00,0.0,3.25,0.0,4.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2024-02-26 12:00:00+00:00,0.0,3.0,0.0,4.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156
2024-02-26 13:00:00+00:00,0.0,2.7857142857142856,0.0,4.214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
2024-02-26 14:00:00+00:00,0.0,2.6,0.0,3.933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2024-02-26 15:00:00+00:00,0.0,2.4375,0.0,3.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
2024-02-26 16:00:00+00:00,0.0,2.2941176470588234,0.0,3.4705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826
2024-02-26 17:00:00+00:00,0.0,2.1666666666666665,0.0,3.2777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2024-02-26 18:00:00+00:00,0.0,2.0526315789473686,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105
2024-02-26 19:00:00+00:00,0.0,1.95,4.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
2024-02-26 20:00:00+00:00,0.0,1.8571428571428572,0.0,4.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
2024-02-26 21:00:00+00:00,0.0,1.7727272727272727,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727
2024-02-26 22:00:00+00:00,0.0,1.6956521739130435,0.0,4.304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913
2024-02-26 23:00:00+00:00,5.0,1.8333333333333333,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 00:00:00+00:00,0.0,1.8333333333333333,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 01:00:00+00:00,0.0,1.8333333333333333,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 02:00:00+00:00,0.0,1.7916666666666667,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 03:00:00+00:00,0.0,1.75,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 04:00:00+00:00,0.0,1.75,0.0,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 05:00:00+00:00,0.0,0.20833333333333334,0.0,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 06:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 07:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 08:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2024-02-27 09:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 10:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 11:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 12:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 13:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 14:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 15:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 16:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 17:00:00+00:00,0.0,0.20833333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 18:00:00+00:00,0.0,0.20833333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 19:00:00+00:00,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 20:00:00+00:00,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 21:00:00+00:00,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 22:00:00+00:00,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-27 23:00:00+00:00,3.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-28 00:00:00+00:00,13.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-28 01:00:00+00:00,6.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-28 02:00:00+00:00,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
