27897,monetization,ad\b,"Feb 26, 2024, 12:25:51 AM PST",Podcast
27903,monetization,ad\b,"Feb 25, 2024, 11:33:49 PM PST",Comedy
27907,series,part\s*\d+,"Feb 25, 2024, 11:23:16 PM PST",Tutorial
27911,trending,shorts,"Feb 25, 2024, 10:09:29 PM PST",Shorts
27915,series,#\d+,"Feb 25, 2024, 10:07:36 PM PST",Sports
27915,trending,shorts,"Feb 25, 2024, 10:07:36 PM PST",Sports
27921,trending,shorts,"Feb 25, 2024, 10:05:14 PM PST",Shorts
27923,trending,shorts,"Feb 25, 2024, 10:04:40 PM PST",Shorts
27923,clickbait,amazing,"Feb 25, 2024, 10:04:40 PM PST",Shorts
27927,trending,shorts,"Feb 25, 2024, 10:02:31 PM PST",Shorts
27927,clickbait,gone wrong,"Feb 25, 2024, 10:02:31 PM PST",Shorts
27929,community,with,"Feb 25, 2024, 10:01:34 PM PST",Sports
27930,trending,challenge,"Feb 25, 2024, 10:00:49 PM PST",Technology
27943,trending,new,"Feb 25, 2024, 9:53:49 PM PST",Technology
27945,community,vs,"Feb 25, 2024, 9:52:38 PM PST",Entertainment
27946,monetization,#ad,"Feb 25, 2024, 9:51:37 PM PST",Tutorial
27949,trending,shorts,"Feb 25, 2024, 9:51:28 PM PST",Shorts
27952,monetization,ad\b,"Feb 25, 2024, 9:51:14 PM PST",Comedy
27953,trending,shorts,"Feb 25, 2024, 9:50:38 PM PST",Shorts
27954,trending,shorts,🐦 Pendulum Tit Deceive the Snake 🐍 #shorts,Shorts
27955,community,vs,"Feb 25, 2024, 9:49:27 PM PST",Sports
27958,trending,shorts,"Feb 25, 2024, 9:46:51 PM PST",Shorts
27960,trending,shorts,"Feb 25, 2024, 9:44:16 PM PST",Shorts
27963,trending,trend(?:ing)?,"Feb 25, 2024, 9:42:45 PM PST",Comedy
27963,trending,shorts,"Feb 25, 2024, 9:42:45 PM PST",Comedy
27964,monetization,ad\b,"Feb 25, 2024, 9:42:37 PM PST",Technology
27965,monetization,ad\b,"Feb 25, 2024, 9:41:33 PM PST",News
27966,trending,shorts,"Feb 25, 2024, 9:41:20 PM PST",Entertainment
27968,monetization,ad\b,"Feb 25, 2024, 9:41:04 PM PST",Sports
27971,community,feat,"Feb 25, 2024, 3:32:52 PM PST",Music
27986,trending,tiktok,"Feb 25, 2024, 3:12:12 PM PST",Music
27986,community,ft\.,"Feb 25, 2024, 3:12:12 PM PST",Music
