end_time,ms_played,track_name,artist_name,album_name,url,start_time
2023-11-11 21:43:33+00:00,300640,Mere Sapnon Ki Rani,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:7esbB2vqT7jJPY9wUp83yU,2023-11-11 21:38:27
2023-11-11 21:44:23+00:00,49433,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",Abhijeet,Sensational Duets,spotify:track:4hLShJ4RCa2KhqVHD7MRDn,2023-11-11 21:43:33
2023-11-11 21:44:46+00:00,22080,"Woh Kehte Hain Ham Se (From ""Dariya Dil"")",Nitin Mukesh,Noteworthy Hits of Nitin Mukesh,spotify:track:5GJH8zHkKJrQx7lGUyw5k0,2023-11-11 21:44:24
2023-11-11 21:44:47+00:00,1670,Pyaar Ke Kagaz Pe,Abhijit Bhattacharya,Jigar,spotify:track:4TLS5sSQZMikT622MYZmNB,2023-11-11 21:44:46
2023-11-11 21:47:56+00:00,189340,Main Pal Do Pal Ka Shair Hoon,Mukesh,Kabhi Kabhie,spotify:track:2MAQWNhW0jKI0qWnNNO8C9,2023-11-11 21:44:48
2023-11-11 21:47:58+00:00,270,"Saagar Jaisi Aankhonwali - From ""Saagar""",Kishore Kumar,Audiobiography - Kishore Kumar,spotify:track:4NGKImXyLb9jpCzU5kTexb,2023-11-11 21:47:57
2023-11-11 21:48:01+00:00,3180,Bade Achhe Lagte Hain,Amit Kumar,Balika Badhu,spotify:track:6MZCYPT3hZPzwJGLnXn1RF,2023-11-11 21:47:58
2023-11-11 21:48:58+00:00,56480,Commentary Tabussum And O Saathi Re - Muqaddar Ka Sikandar,Tabassum,Flash Back - Amitabh Bachchan With Tabassum,spotify:track:4j4NkhQau0ou1YX9uInazd,2023-11-11 21:48:02
2023-11-11 21:49:06+00:00,7120,Ek Ladki Ko Dekha,Kumar Sanu,1942 A Love Story,spotify:track:3rLSVdt9C2Pg2jo90oltnU,2023-11-11 21:48:58
2023-11-11 21:49:07+00:00,1670,Hangama Hai Kiyon Barbad,Ghulam Ali,Dil Mein Ek Leher - Ghulam Ali The Gazal Mastro,spotify:track:1M3NqMGpz82MZymh0bJSIx,2023-11-11 21:49:06
2023-11-11 21:49:09+00:00,1240,Baad Muddat Unhain - Main Aur Meri Tanhai / Soundtrack Version,Jagjit Singh,Dard-E-Jigar,spotify:track:45lNSRwDxSACwGtblFOak5,2023-11-11 21:49:07
2023-11-11 21:53:04+00:00,236279,Meri Bheegi Bheegi Si,Kishore Kumar,Anamika,spotify:track:66pgL55KG00oTsxzTw7tBE,2023-11-11 21:49:09
2023-11-11 21:54:04+00:00,58200,Kisi Ki Muskurahaton Pe,Mukesh,Mukesh Ki Barfi,spotify:track:7rkkhMxGDlfpHtV9Y9bKsC,2023-11-11 21:53:05
2023-11-11 21:54:05+00:00,1250,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,Audiobiography,spotify:track:4ujalVER2NLazVozUVllxw,2023-11-11 21:54:04
2023-11-11 21:57:52+00:00,228960,Bheegi Bheegi Raaton Mein,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:2TFQJcS4LnIe5HBHCsL3WM,2023-11-11 21:54:05
2023-11-11 21:59:23+00:00,87099,Beqarar Karke Hamen Yun Na Jaiye,Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",spotify:track:2Is7ElE0yrqns54eNSw4Jt,2023-11-11 21:57:53
2023-11-11 22:03:06+00:00,225213,Roop Tera Mastana,Kishore Kumar,"Baarishein, Chai Aur Kishore",spotify:track:2LRVglXOFzxJvdkTgh3waN,2023-11-11 21:59:23
2023-11-11 22:03:21+00:00,12746,Muqabala Muqabala,Mano,Hum Se Hai Muqabala - Kadalan - Original Motion Picture Soundtrack,spotify:track:0iG83qZ0ftWr43VggRYkp3,2023-11-11 22:03:07
2023-11-11 22:08:17+00:00,296720,Soniye,KK,Aksar,spotify:track:5O4AGvOVFSs5ipu3iNOuoi,2023-11-11 22:03:22
2023-11-11 22:13:24+00:00,307373,"Maine Poochha Chand Se - From ""Abdullah""",Mohammed Rafi,Audiobiography,spotify:track:0i6U12LOWlHNngec0HCroE,2023-11-11 22:08:17
2023-11-11 22:13:45+00:00,18486,"Kya Yahi Pyar Hai - From ""Rocky""",Lata Mangeshkar,Audiobiography,spotify:track:7Avl75LRSHu6J13bt67W2o,2023-11-11 22:13:25
2023-11-11 22:18:09+00:00,266145,Ek Ajnabee Haseena Se,Kishore Kumar,Ajanabee,spotify:track:1mPNK9DQVA7gJNtJ20PZu3,2023-11-11 22:13:45
2023-11-11 22:22:39+00:00,257034,Aye Udi Udi Udi,A.R. Rahman,Saathiya,spotify:track:6K0Ea7pq2trf6SwsfEKkOp,2023-11-11 22:18:10
2023-11-11 22:22:40+00:00,1240,Kya Khoob Lagti Ho,Mukesh,Dharmatma,spotify:track:3h5YZTfJ4BBpvLVHS6lGUl,2023-11-11 22:22:39
2023-11-11 22:23:15+00:00,34950,Maine Payal Hai Chhankai,Falguni Pathak,Maine Payal Hai Chhankai & Other Hits,spotify:track:51EUKH2M1QGN50iGUlnxmU,2023-11-11 22:22:41
2023-11-11 22:23:16+00:00,1060,Main Shair To Nahin,Shailendra Singh,Bobby,spotify:track:5YG3JN18pDZGnbSVyWrYqe,2023-11-11 22:23:16
2023-11-11 22:28:04+00:00,288480,"Dilbar Mere - From ""Satte Pe Satta""",Kishore Kumar,Audiobiography - Kishore Kumar,spotify:track:03GR8YoEsu0qPUGC13X8C1,2023-11-11 22:23:17
2023-11-11 22:28:12+00:00,6540,"Hothon Se Chhu Lo Tum - From ""Prem Geet""",Jagjit Singh,Dard-E-Jigar,spotify:track:4mBmsPcPa1Eu4LDTHq55Ab,2023-11-11 22:28:04
2023-11-11 22:28:14+00:00,1920,Hai Apna Dil To Aawara (Happy),Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",spotify:track:5LrCiTYu4iTjgUXM758Igj,2023-11-11 22:28:12
2023-11-11 22:28:16+00:00,2110,Main Zindagi Ka Saath Nibhata Chala Gaya,Mohammed Rafi,Mohammed Rafi Suron Ka Anar,spotify:track:54knXqMHVticNWFlTehYtf,2023-11-11 22:28:14
2023-11-11 22:28:18+00:00,1580,Phir Le Aya Dil,Pritam,Barfi! (Original Motion Picture Soundtrack),spotify:track:2OvldWM8rVnp7QCn9eCrr1,2023-11-11 22:28:17
2023-11-11 22:28:20+00:00,1620,Aa Chal Ke Tujhe,Kishore Kumar,Door Gagan Ki Chhaon Mein,spotify:track:53keqrDTkt1GE9hJgUoql4,2023-11-11 22:28:18
2023-11-11 22:28:22+00:00,1950,Zindagi Kaisi Hai Paheli,Manna Dey,Anand,spotify:track:3JlCtKzdOP25gelnwMI9RF,2023-11-11 22:28:20
2023-11-11 22:28:38+00:00,15330,Tum Ko Dekha To Yeh Khayal Aaya,Jagjit Singh,Saath Saath,spotify:track:66KBRmenGEJkTKtbTWl7tS,2023-11-11 22:28:22
2023-11-11 22:28:49+00:00,10900,Tu Jo Mila,Pritam,Bajrangi Bhaijaan,spotify:track:7txLCGOXyDlDXTjtR1Sk4v,2023-11-11 22:28:38
2023-11-11 22:28:50+00:00,1020,Selfie Le Le Re,Pritam,Bajrangi Bhaijaan,spotify:track:0Zz7AEZfBKP2U7sO0WJKER,2023-11-11 22:28:49
2023-11-11 22:28:52+00:00,1800,Aaj Ki Party,Pritam,Bajrangi Bhaijaan,spotify:track:1vmQPVE7vbgSZ12C8MlKX8,2023-11-11 22:28:51
2023-11-11 22:33:49+00:00,297651,Selfie Le Le Re,Pritam,Bajrangi Bhaijaan,spotify:track:0Zz7AEZfBKP2U7sO0WJKER,2023-11-11 22:28:53
2023-11-11 22:34:54+00:00,63108,Tu Chahiye,Pritam,Bajrangi Bhaijaan,spotify:track:3aaiAWCet6sbfOfLSn3g7i,2023-11-11 22:33:49
2023-11-11 22:35:02+00:00,8350,Aaj Ki Party,Pritam,Bajrangi Bhaijaan,spotify:track:1vmQPVE7vbgSZ12C8MlKX8,2023-11-11 22:34:54
2023-11-11 22:35:02+00:00,1180,Bhar Do Jholi Meri,Pritam,Bajrangi Bhaijaan,spotify:track:52qnHAlqWpo3kgEteAPjRf,2023-11-11 22:35:02
2023-11-11 22:39:34+00:00,270790,Chicken Kuk-Doo-Koo,Pritam,Bajrangi Bhaijaan,spotify:track:1DUoaxHClMTqzTZCTcF61z,2023-11-11 22:35:03
2023-11-11 22:39:36+00:00,1400,Zindagi Kuch Toh Bata (Reprise),Pritam,Bajrangi Bhaijaan,spotify:track:6TGX01ExmdHyOG72fqUU3Q,2023-11-11 22:39:34
2023-11-11 22:43:27+00:00,226562,Tu Jo Mila,Pritam,Bajrangi Bhaijaan,spotify:track:7txLCGOXyDlDXTjtR1Sk4v,2023-11-11 22:39:36
2023-11-11 22:43:46+00:00,17587,Bhar Do Jholi Meri (Reprise),Pritam,Bajrangi Bhaijaan,spotify:track:6uW0tsv1DhwY3NvduQho0z,2023-11-11 22:43:28
2023-11-11 22:44:05+00:00,18900,Kalank - Title Track,RAW VIBE,Kalank,spotify:track:5aiP2xmxndmb6DnbanCXlv,2023-11-11 22:43:47
2023-11-11 23:52:59+00:00,353106,"Jaane Jaan Dhoondata - From ""Jawani Diwani""",Kishore Kumar,Timeless Kishore,spotify:track:6Fdg2TXeZes5rSYYfrJ1hV,2023-11-11 23:47:07
2023-11-11 23:56:48+00:00,228693,Mere Mehboob Qayamat Hogi,Kishore Kumar,Mr. X In Bombay,spotify:track:3MRREVp7Vwiivsny9bGd9O,2023-11-11 23:53:00
2023-11-11 23:57:03+00:00,12850,Neele Neele Ambar Par - Male Version,Kalyanji-Anandji,Kalaakaar (Original Motion Picture Soundtrack),spotify:track:02zPo0Dt0R4TTFY5zLJZnK,2023-11-11 23:56:49
2023-11-11 23:57:29+00:00,26080,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,Audiobiography,spotify:track:4ujalVER2NLazVozUVllxw,2023-11-11 23:57:03
