ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,skipped,offline_timestamp
2023-11-09T19:51:20Z,ios,217440,Zehnaseeb,Vishal-Shekhar,Hasee Toh Phasee (Original Motion Picture Soundtrack),spotify:track:3xF15SqY32Mno3UUMBirhU,trackdone,trackdone,FALSE,1699559262
2023-11-09T19:57:07Z,ios,347040,Tera Mera Rishta,Mustafa Zahid,Awarapan (Original Soundtrack),spotify:track:2PxZSFOv7RebkeSEwQTjr7,trackdone,trackdone,FALSE,1699559480
2023-11-09T19:57:36Z,ios,26848,Sabapatiku,Bombay Jayashri,Bombay S.Jayashri - Classical Melodies,spotify:track:629ZPrueIcJ3AJ8zSehR9P,trackdone,fwdbtn,TRUE,1699559828
2023-11-09T19:57:37Z,ios,1680,Woh Lamhe Woh Baatein,Atif Aslam,Zeher,spotify:track:5fwRhPXAvGgzUxW62ZCvEg,fwdbtn,fwdbtn,TRUE,1699559856
2023-11-09T20:15:45Z,ios,25740,Jashn-E-Bahaaraa,A.R. Rahman,Jodhaa Akbar,spotify:track:1O5mTSQa0sCce9ghhDqIZl,fwdbtn,trackerror,FALSE,1699559858
2023-11-09T20:15:51Z,ios,1370,Jab Se Tere Naina,Monty Sharma,Saawariya (Original Motion Picture Soundtrack),spotify:track:0gRNu9dVzi5aC87AI1empZ,trackerror,backbtn,TRUE,1699560945
2023-11-09T20:16:43Z,ios,51310,Jashn-E-Bahaaraa,A.R. Rahman,Jodhaa Akbar,spotify:track:1O5mTSQa0sCce9ghhDqIZl,backbtn,unexpected-exit-while-paused,FALSE,1699560952
2023-11-10T00:49:23Z,ios,12800,Jashn-E-Bahaaraa,A.R. Rahman,Jodhaa Akbar,spotify:track:1O5mTSQa0sCce9ghhDqIZl,appload,fwdbtn,TRUE,1699577347
2023-11-10T00:49:24Z,ios,1050,Jab Se Tere Naina,Monty Sharma,Saawariya (Original Motion Picture Soundtrack),spotify:track:0gRNu9dVzi5aC87AI1empZ,fwdbtn,fwdbtn,TRUE,1699577363
2023-11-10T00:49:25Z,ios,720,Khuda Jaane,Vishal-Shekhar,Bachna Ae Haseeno,spotify:track:0gPgdRfB4jdGrlyXS0Vx78,fwdbtn,fwdbtn,TRUE,1699577364
2023-11-10T00:49:26Z,ios,590,Vaseegara,Bombay Jayashri,Harris - The Hit Machine,spotify:track:38CsBmfZ7eAvmTG7r6NGIJ,fwdbtn,fwdbtn,TRUE,1699577365
2023-11-10T00:49:27Z,ios,1290,Tere Bin,Rabbi Shergill,Rabbi,spotify:track:5frmIBzZKMjU2PlWJJ8Ir3,fwdbtn,backbtn,TRUE,1699577366
2023-11-10T00:49:34Z,ios,6490,Vaseegara,Bombay Jayashri,Harris - The Hit Machine,spotify:track:38CsBmfZ7eAvmTG7r6NGIJ,backbtn,endplay,TRUE,1699577368
2023-11-10T02:01:39Z,ios,22190,Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,spotify:track:7wrYBASu0OoxoDErd4Edxd,clickrow,logout,FALSE,1699577374
2023-11-10T02:21:28Z,ios,323520,Teri Deewani,Kailash Kher,Kailasa,spotify:track:2iNqdCchlUZEgjJbQyZf8T,clickrow,endplay,TRUE,1699582565
2023-11-10T02:21:32Z,ios,2520,Saiyyan,Kailash Kher,Jhoomo Re,spotify:track:2vR23BjIzpLMtzsyKrM6Mb,trackdone,fwdbtn,TRUE,1699582889
2023-11-10T02:21:33Z,ios,1040,"Arziyan (From ""Delhi-6"")",Javed Ali,Teri Jhalak Asharfi Javed Ali Hits,spotify:track:0pBYlfDE9m6QMv9QNXrtQ1,fwdbtn,fwdbtn,TRUE,1699582892
2023-11-10T02:21:35Z,ios,800,Kun Faya Kun,A.R. Rahman,Rockstar,spotify:track:7F8RNvTQlvbeBLeenycvN6,fwdbtn,fwdbtn,TRUE,1699582894
2023-11-10T02:22:39Z,ios,4150,Maula Mere Maula,Roop Kumar Rathod,Anwar,spotify:track:4CGBTtlrjZj7ydpV52cgB4,fwdbtn,fwdbtn,TRUE,1699582896
2023-11-10T02:22:41Z,ios,1930,Hoshwalon Ko Khabar Kya,Jagjit Singh,Sarfarosh,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,fwdbtn,fwdbtn,TRUE,1699582959
2023-11-10T02:22:43Z,ios,1400,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",spotify:track:0645eBDehHcqfiF15hscQV,fwdbtn,fwdbtn,TRUE,1699582962
2023-11-10T02:22:47Z,ios,3400,"Ya Rabba (From ""Salaam-E-Ishq"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7KKRPM4fUsfCkJnd1zPhHf,fwdbtn,fwdbtn,TRUE,1699582964
2023-11-10T02:22:47Z,ios,990,Shukran Allah,Salim–Sulaiman,Kurbaan (Original Motion Picture Soundtrack),spotify:track:3nKEiJUeaWn8q2O9I1xwlB,fwdbtn,fwdbtn,TRUE,1699582967
2023-11-10T02:22:49Z,ios,1100,"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,spotify:track:2RgvvnMwtP0R2OkVZmFvnV,fwdbtn,fwdbtn,TRUE,1699582968
2023-11-10T02:26:24Z,ios,214346,Tere Naina,Shankar-Ehsaan-Loy,My Name Is Khan (Original Motion Picture Soundtrack),spotify:track:3hoXhwP0ub9LdSJV4olDIc,fwdbtn,trackdone,FALSE,1699582970
2023-11-10T02:30:13Z,ios,228969,Jeena Jeena,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),spotify:track:2GXXZFUxYg2LvG8SR0byOE,trackdone,trackdone,FALSE,1699583184
2023-11-10T03:14:45Z,ios,68584,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",Abhijeet,Sensational Duets,spotify:track:4hLShJ4RCa2KhqVHD7MRDn,trackdone,fwdbtn,TRUE,1699583414
2023-11-10T03:14:46Z,ios,1030,Ek Tarfa,Darshan Raval,Ek Tarfa,spotify:track:64r6z0P3RnhpTGdkA7p5Os,fwdbtn,fwdbtn,TRUE,1699586086
2023-11-10T03:16:32Z,ios,106220,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly,fwdbtn,fwdbtn,TRUE,1699586087
2023-11-10T03:21:58Z,ios,327029,"Guzarish (From ""Ghajini"")",Javed Ali,Teri Jhalak Asharfi Javed Ali Hits,spotify:track:0kWWPtEWjmQVEu4V0esXJ8,fwdbtn,trackdone,FALSE,1699586193
2023-11-10T03:22:18Z,ios,17750,O Rangrez,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),spotify:track:5JCDVLwteSXuwVqjCa7SwH,trackdone,fwdbtn,TRUE,1699586519
2023-11-10T03:24:43Z,ios,144570,Woh Lamhe Woh Baatein,Atif Aslam,Zeher,spotify:track:5fwRhPXAvGgzUxW62ZCvEg,fwdbtn,unexpected-exit-while-paused,FALSE,1699586539
2023-11-10T05:03:08Z,ios,287213,Teri Yaadon Mein,KK,The Killer,spotify:track:4ZVfIGaZP93t0stmBj4FqA,clickrow,endplay,TRUE,1699592069
2023-11-10T05:03:18Z,ios,7366,"Beete Lamhein (From ""The Train"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,spotify:track:0dJacN6K3mSGLE9p7QE0lO,trackdone,fwdbtn,TRUE,1699592589
2023-11-10T05:06:19Z,ios,179930,Tu Meri Dost Hain,Benny Dayal,Yuvvraaj,spotify:track:02N5ZxOVugGQmKeIT0VXUx,fwdbtn,logout,FALSE,1699592598
2023-11-11T20:48:12Z,ios,299259,Teri Deewani,Kailash Kher,Kailasa,spotify:track:2iNqdCchlUZEgjJbQyZf8T,clickrow,endplay,TRUE,1699735393
2023-11-11T20:48:23Z,ios,5690,Saiyyan,Kailash Kher,Jhoomo Re,spotify:track:2vR23BjIzpLMtzsyKrM6Mb,trackdone,fwdbtn,TRUE,1699735693
2023-11-11T20:48:25Z,ios,1790,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",Abhijeet,Sensational Duets,spotify:track:4hLShJ4RCa2KhqVHD7MRDn,fwdbtn,fwdbtn,TRUE,1699735703
2023-11-11T20:53:34Z,ios,309640,Tere Bina,A.R. Rahman,Guru (Original Motion Picture Soundtrack),spotify:track:4FeczSomVWVyU4FW7xDeAI,fwdbtn,trackdone,FALSE,1699735705
2023-11-11T20:53:42Z,ios,7060,Jeena Jeena,Atif Aslam,Badlapur (Original Motion Picture Soundtrack),spotify:track:2GXXZFUxYg2LvG8SR0byOE,trackdone,fwdbtn,TRUE,1699736014
2023-11-11T20:56:17Z,ios,155660,Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2,spotify:track:5PvwPy5eRO8BPwpRzCHK3D,fwdbtn,fwdbtn,TRUE,1699736022
2023-11-11T20:56:22Z,ios,3590,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly,fwdbtn,fwdbtn,TRUE,1699736178
2023-11-11T21:00:22Z,ios,241668,"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,spotify:track:2RgvvnMwtP0R2OkVZmFvnV,fwdbtn,trackdone,FALSE,1699736182
2023-11-11T21:00:37Z,ios,12741,Aise Kyun - Ghazal Version,Rekha Bhardwaj,Mismatched: Season 2 (Soundtrack from the Netflix Series),spotify:track:02wf1NAQdIpe5S1NJYPwvB,trackdone,fwdbtn,TRUE,1699736423
2023-11-11T21:04:41Z,ios,22070,Main Agar Kahoon,Sonu Nigam,Soulful Sonu Nigam Specials,spotify:track:3WVHfTd7xz9VPYJQFpOp8j,fwdbtn,endplay,TRUE,1699736437
2023-11-11T21:09:40Z,ios,272520,Yeh Kya Hua,Kishore Kumar,Amar Prem,spotify:track:37tU5UNOzTZe6gY4Jmad79,clickrow,endplay,TRUE,1699736681
2023-11-11T21:09:55Z,ios,13899,Hoshwalon Ko Khabar Kya,Jagjit Singh,Sarfarosh,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,trackdone,fwdbtn,TRUE,1699736980
2023-11-11T21:09:56Z,ios,1680,Mere Mehboob Qayamat Hogi,Kishore Kumar,Mr. X In Bombay,spotify:track:3MRREVp7Vwiivsny9bGd9O,fwdbtn,fwdbtn,TRUE,1699736995
2023-11-11T21:09:57Z,ios,770,"Chaand Taare (From ""Yes Boss"")",Abhijeet,My Best Collection,spotify:track:5Cdd8p9sxRczQX6GFC8CdH,fwdbtn,fwdbtn,TRUE,1699736997
2023-11-11T21:09:58Z,ios,980,"Sochenge Tumhe Pyar (From ""Deewana"")",Kumar Sanu,"Bollywood Best Trio - Kumar Sanu, Nadeem - Shravan",spotify:track:00wU6YKnzNlavZ1TPpLUlp,fwdbtn,fwdbtn,TRUE,1699736998
2023-11-11T21:10:01Z,ios,1730,Shree RamcHandra Krupalu,Satish Dehra,Shri Hanuman Chalisha,spotify:track:4VIDUK3kXaoh8vlOfqhUx3,fwdbtn,fwdbtn,TRUE,1699736999
2023-11-11T21:10:03Z,ios,1290,"Aye Dil Mujhe Aisi Jagah Le Chal Jahan Koi Na Ho, From ''Arzoo''",Talat Mahmood,"Bollywood Legendary Singers, Talat Mahmood, Vol. 1",spotify:track:0zrIHE69b705Lve5AJ6xBv,fwdbtn,fwdbtn,TRUE,1699737001
2023-11-11T21:14:12Z,ios,247756,Yeh Jo Mohabbat Hai,Kishore Kumar,Kati Patang,spotify:track:6UIW6bm2VJKMP4T0jqgD2D,fwdbtn,trackdone,FALSE,1699737003
2023-11-11T21:14:32Z,ios,17883,Kaise Mein Kahun Tujhse,KK,Rehnaa Hai Terre Dil Mein,spotify:track:5CQyJJH6MJIy3XnQae81DU,trackdone,fwdbtn,TRUE,1699737253
2023-11-11T21:14:34Z,ios,1660,"Hum to Deewane Huye (From ""Baadshah"")",Abhijeet,Sensational Duets,spotify:track:5qG6jYnBmGMdKS1WiZBgj5,fwdbtn,fwdbtn,TRUE,1699737273
2023-11-11T21:14:36Z,ios,1950,Dil Mera Churaya Kyun,Kumar Sanu,Akele Hum Akele Tum,spotify:track:4OvdhTOjq75CvPO6O7AWRw,fwdbtn,fwdbtn,TRUE,1699737275
2023-11-11T21:19:01Z,ios,265238,Neele Neele Ambar Par - Male Version,Kalyanji-Anandji,Kalaakaar (Original Motion Picture Soundtrack),spotify:track:02zPo0Dt0R4TTFY5zLJZnK,fwdbtn,trackdone,FALSE,1699737277
2023-11-11T21:25:09Z,ios,296453,"Pyar Manga Hai Tumhi Se - From ""College Girl""",Kishore Kumar,Audiobiography - Kishore Kumar,spotify:track:6SGJNu15GW7pJeM4U2Eb19,trackdone,trackdone,FALSE,1699737541
2023-11-11T21:25:15Z,ios,4508,Hum Tere Shahar Me Aaye Hai,Ghulam Ali,Tere Shahar Main,spotify:track:1kq9D4WgmSzmZzNGMAvI4Q,trackdone,fwdbtn,TRUE,1699737910
2023-11-11T21:29:16Z,ios,242080,Commentry Tabassum And Humen Tumse Pyar Kitna,Tabassum,Flash Back - Kishore Kumar With Tabassum,spotify:track:0whjGr7gU3X93lNTpLQhys,fwdbtn,trackdone,FALSE,1699737915
2023-11-11T21:33:36Z,ios,259120,Jane Woh Kaise Log The,Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",spotify:track:4lKHw9LqWelunwEvUDukF0,trackdone,trackdone,FALSE,1699738157
2023-11-11T21:38:26Z,ios,290146,Ek Main Aur Ek Tu,Asha Bhosle,Khel Khel Mein,spotify:track:0m23fTE5D9lfYyVyfm5RoL,trackdone,trackdone,FALSE,1699738416
2023-11-11T21:43:33Z,ios,300640,Mere Sapnon Ki Rani,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:7esbB2vqT7jJPY9wUp83yU,trackdone,trackdone,FALSE,1699738707
2023-11-11T21:44:23Z,ios,49433,"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",Abhijeet,Sensational Duets,spotify:track:4hLShJ4RCa2KhqVHD7MRDn,trackdone,fwdbtn,TRUE,1699739013
2023-11-11T21:44:46Z,ios,22080,"Woh Kehte Hain Ham Se (From ""Dariya Dil"")",Nitin Mukesh,Noteworthy Hits of Nitin Mukesh,spotify:track:5GJH8zHkKJrQx7lGUyw5k0,fwdbtn,fwdbtn,TRUE,1699739064
2023-11-11T21:44:47Z,ios,1670,Pyaar Ke Kagaz Pe,Abhijit Bhattacharya,Jigar,spotify:track:4TLS5sSQZMikT622MYZmNB,fwdbtn,fwdbtn,TRUE,1699739086
2023-11-11T21:47:56Z,ios,189340,Main Pal Do Pal Ka Shair Hoon,Mukesh,Kabhi Kabhie,spotify:track:2MAQWNhW0jKI0qWnNNO8C9,fwdbtn,trackdone,FALSE,1699739088
2023-11-11T21:47:58Z,ios,270,"Saagar Jaisi Aankhonwali - From ""Saagar""",Kishore Kumar,Audiobiography - Kishore Kumar,spotify:track:4NGKImXyLb9jpCzU5kTexb,trackdone,fwdbtn,TRUE,1699739277
2023-11-11T21:48:01Z,ios,3180,Bade Achhe Lagte Hain,Amit Kumar,Balika Badhu,spotify:track:6MZCYPT3hZPzwJGLnXn1RF,fwdbtn,fwdbtn,TRUE,1699739278
2023-11-11T21:48:58Z,ios,56480,Commentary Tabussum And O Saathi Re - Muqaddar Ka Sikandar,Tabassum,Flash Back - Amitabh Bachchan With Tabassum,spotify:track:4j4NkhQau0ou1YX9uInazd,fwdbtn,fwdbtn,TRUE,1699739282
2023-11-11T21:49:06Z,ios,7120,Ek Ladki Ko Dekha,Kumar Sanu,1942 A Love Story,spotify:track:3rLSVdt9C2Pg2jo90oltnU,fwdbtn,fwdbtn,TRUE,1699739338
2023-11-11T21:49:07Z,ios,1670,Hangama Hai Kiyon Barbad,Ghulam Ali,Dil Mein Ek Leher - Ghulam Ali The Gazal Mastro,spotify:track:1M3NqMGpz82MZymh0bJSIx,fwdbtn,fwdbtn,TRUE,1699739346
2023-11-11T21:49:09Z,ios,1240,Baad Muddat Unhain - Main Aur Meri Tanhai / Soundtrack Version,Jagjit Singh,Dard-E-Jigar,spotify:track:45lNSRwDxSACwGtblFOak5,fwdbtn,fwdbtn,TRUE,1699739347
2023-11-11T21:53:04Z,ios,236279,Meri Bheegi Bheegi Si,Kishore Kumar,Anamika,spotify:track:66pgL55KG00oTsxzTw7tBE,fwdbtn,trackdone,FALSE,1699739349
2023-11-11T21:54:04Z,ios,58200,Kisi Ki Muskurahaton Pe,Mukesh,Mukesh Ki Barfi,spotify:track:7rkkhMxGDlfpHtV9Y9bKsC,trackdone,fwdbtn,TRUE,1699739585
2023-11-11T21:54:05Z,ios,1250,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,Audiobiography,spotify:track:4ujalVER2NLazVozUVllxw,fwdbtn,fwdbtn,TRUE,1699739644
2023-11-11T21:57:52Z,ios,228960,Bheegi Bheegi Raaton Mein,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:2TFQJcS4LnIe5HBHCsL3WM,fwdbtn,trackdone,FALSE,1699739645
2023-11-11T21:59:23Z,ios,87099,Beqarar Karke Hamen Yun Na Jaiye,Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",spotify:track:2Is7ElE0yrqns54eNSw4Jt,trackdone,fwdbtn,TRUE,1699739873
2023-11-11T22:03:06Z,ios,225213,Roop Tera Mastana,Kishore Kumar,"Baarishein, Chai Aur Kishore",spotify:track:2LRVglXOFzxJvdkTgh3waN,fwdbtn,trackdone,FALSE,1699739963
