app,start,weight_inKilograms,weight_inPounds
com.sec.android.app.shealth,2025-02-07 18:09:00+00:00,104.32630157470703,230.00012450541666
com.sec.android.app.shealth,2025-02-09 21:25:00+00:00,104.32624053955078,229.99998994593048
com.sec.android.app.shealth,2025-02-10 05:58:00+00:00,105.32420349121094,232.20012164492744
com.sec.android.app.shealth,2025-02-10 20:47:00+00:00,104.59850311279297,230.60022617398297
com.sec.android.app.shealth,2025-02-11 18:37:00+00:00,104.23560333251953,229.8001691089282
com.sec.android.app.shealth,2025-02-13 21:09:00+00:00,103.41909790039062,228.00008276239438
com.sec.android.app.shealth,2025-02-16 16:24:00+00:00,103.50980377197266,228.20005497881866
com.sec.android.app.shealth,2025-02-17 19:40:00+00:00,103.23770141601562,227.60017196941743
com.sec.android.app.shealth,2025-02-18 21:14:00+00:00,103.41909790039062,228.00008276239438
com.sec.android.app.shealth,2025-02-19 19:13:00+00:00,102.78410339355469,226.6001595078742
com.sec.android.app.shealth,2025-02-20 09:33:00+00:00,102.7840347290039,226.6000081284522
com.sec.android.app.shealth,2025-02-20 09:34:00+00:00,102.7840347290039,226.6000081284522
com.sec.android.app.shealth,2025-02-21 18:33:00+00:00,103.69129943847656,228.6001844309607
com.sec.android.app.shealth,2025-02-22 18:33:00+00:00,102.96549987792969,227.00007030085115
com.sec.android.app.shealth,2025-02-24 00:37:00+00:00,102.60260009765625,226.20001323579638
com.sec.android.app.shealth,2025-02-24 18:04:00+00:00,101.96759796142578,224.80007316134038
com.sec.android.app.shealth,2025-02-26 18:01:00+00:00,102.23979949951172,225.40017482990666
com.sec.android.app.shealth,2025-02-28 00:02:00+00:00,100.87899780273438,222.40012062534115
com.vt.vitafit,2025-02-28 21:00:00+00:00,101.25,223.21804046218855
com.vt.vitafit,2025-03-01 21:51:00+00:00,101.1,222.88734706891123
com.sec.android.app.shealth,2025-03-01 22:08:00+00:00,101.10579681396484,222.90012685611276
com.vt.vitafit,2025-03-03 18:18:00+00:00,101.8,224.43058290420538
com.vt.vitafit,2025-03-03 18:19:00+00:00,101.8,224.43058290420538
