app,start,weight_weight_inGrams,weight_weight_inKilograms,weight_weight_inMicrograms,weight_weight_inMilligrams,weight_weight_inOunces,weight_weight_inPounds
com.sec.android.app.shealth,2025-02-07 18:09:00+00:00,104326.30157470703,104.32630157470703,104326301574.70703,104326301.57470703,3680.002397737494,230.00012450541666
com.sec.android.app.shealth,2025-02-09 21:25:00+00:00,104326.24053955078,104.32624053955078,104326240539.55078,104326240.53955078,3680.000244785477,229.99998994593048
com.sec.android.app.shealth,2025-02-10 05:58:00+00:00,105324.20349121094,105.32420349121094,105324203491.21094,105324203.49121094,3715.202355849797,232.20012164492744
com.sec.android.app.shealth,2025-02-10 20:47:00+00:00,104598.50311279297,104.59850311279297,104598503112.79297,104598503.11279297,3689.6040254929526,230.60022617398297
com.sec.android.app.shealth,2025-02-11 18:37:00+00:00,104235.60333251953,104.23560333251953,104235603332.51953,104235603.33251953,3676.803111041017,229.8001691089282
com.sec.android.app.shealth,2025-02-13 21:09:00+00:00,103419.09790039062,103.41909790039062,103419097900.39062,103419097.90039062,3648.0017263216673,228.00008276239438
com.sec.android.app.shealth,2025-02-16 16:24:00+00:00,103509.80377197266,103.50980377197266,103509803771.97266,103509803.77197266,3651.201282137146,228.20005497881866
com.sec.android.app.shealth,2025-02-17 19:40:00+00:00,103237.70141601562,103.23770141601562,103237701416.01562,103237701.41601562,3641.603152928714,227.60017196941743
com.sec.android.app.shealth,2025-02-18 21:14:00+00:00,103419.09790039062,103.41909790039062,103419097900.39062,103419097.90039062,3648.0017263216673,228.00008276239438
com.sec.android.app.shealth,2025-02-19 19:13:00+00:00,102784.10339355469,102.78410339355469,102784103393.55469,102784103.39355469,3625.6029517803017,226.6001595078742
com.sec.android.app.shealth,2025-02-20 09:33:00+00:00,102784.0347290039,102.7840347290039,102784034729.0039,102784034.7290039,3625.600529709283,226.6000081284522
com.sec.android.app.shealth,2025-02-20 09:34:00+00:00,102784.0347290039,102.7840347290039,102784034729.0039,102784034.7290039,3625.600529709283,226.6000081284522
com.sec.android.app.shealth,2025-02-21 18:33:00+00:00,103691.29943847656,103.69129943847656,103691299438.47656,103691299.43847656,3657.603354077126,228.6001844309607
com.sec.android.app.shealth,2025-02-22 18:33:00+00:00,102965.49987792969,102.96549987792969,102965499877.92969,102965499.87792969,3632.001525173255,227.00007030085115
com.sec.android.app.shealth,2025-02-24 00:37:00+00:00,102602.60009765625,102.60260009765625,102602600097.65625,102602600.09765625,3619.200610721319,226.20001323579638
com.sec.android.app.shealth,2025-02-24 18:04:00+00:00,101967.59796142578,101.96759796142578,101967597961.42578,101967597.96142578,3596.8015670609516,224.80007316134038
com.sec.android.app.shealth,2025-02-26 18:01:00+00:00,102239.79949951172,102.23979949951172,102239799499.51172,102239799.49951172,3606.4031948164106,225.40017482990666
com.sec.android.app.shealth,2025-02-28 00:02:00+00:00,100878.99780273438,100.87899780273438,100878997802.73438,100878997.80273438,3558.4023222521714,222.40012062534115
com.vt.vitafit,2025-02-28 21:00:00+00:00,101250.0,101.25,101250000000.0,101250000.0,3571.4890410842936,223.21804046218855
com.vt.vitafit,2025-03-01 21:51:00+00:00,101100.0,101.1,101100000000.0,101100000.0,3566.1979462086133,222.88734706891123
com.sec.android.app.shealth,2025-03-01 22:08:00+00:00,101105.79681396484,101.10579681396484,101105796813.96484,101105796.81396484,3566.4024228263775,222.90012685611276
com.vt.vitafit,2025-03-03 18:18:00+00:00,101800.0,101.8,101800000000.0,101800000.0,3590.889722295122,224.43058290420538
com.vt.vitafit,2025-03-03 18:19:00+00:00,101800.0,101.8,101800000000.0,101800000.0,3590.889722295122,224.43058290420538
com.etekcity.vesyncplatform,2025-03-27 18:49:00+00:00,99200.0,99.2,99200000000.0,99200000.0,3499.177411116661,218.69856408739855
com.etekcity.vesyncplatform,2025-03-27 18:49:00+00:00,99200.0,99.2,99200000000.0,99200000.0,3499.177411116661,218.69856408739855
com.etekcity.vesyncplatform,2025-03-14 19:14:00+00:00,98800.0,98.8,98800000000.0,98800000.0,3485.067824781513,217.81671503865905
com.etekcity.vesyncplatform,2025-03-14 21:36:00+00:00,99500.0,99.5,99500000000.0,99500000.0,3509.759600868022,219.35995087395318
com.etekcity.vesyncplatform,2025-03-15 17:40:00+00:00,98500.0,98.5,98500000000.0,98500000.0,3474.4856350301525,217.1553282521044
com.etekcity.vesyncplatform,2025-03-15 17:41:00+00:00,98500.0,98.5,98500000000.0,98500000.0,3474.4856350301525,217.1553282521044
com.etekcity.vesyncplatform,2025-03-19 16:44:00+00:00,100700.0,100.7,100700000000.0,100700000.0,3552.0883598734654,222.00549802017173
com.etekcity.vesyncplatform,2025-03-19 16:45:00+00:00,100700.0,100.7,100700000000.0,100700000.0,3552.0883598734654,222.00549802017173
