app,end,start,totalCaloriesBurned_energy_inCalories,totalCaloriesBurned_energy_inJoules,totalCaloriesBurned_energy_inKilocalories,totalCaloriesBurned_energy_inKilojoules,totalCaloriesBurned_total_time
com.sec.android.app.shealth,2025-02-10 04:12:00+00:00,2025-02-10 03:42:00+00:00,358000.0,1497872.0002360647,358.0,1497.8720002360647,30.0
com.sec.android.app.shealth,2025-02-10 22:30:00+00:00,2025-02-10 22:11:00+00:00,158000.0,661072.000104185,158.0,661.0720001041849,19.0
com.sec.android.app.shealth,2025-02-10 23:10:00+00:00,2025-02-10 22:43:00+00:00,236699.9969482422,990352.7873875248,236.6999969482422,990.3527873875249,27.0
com.sec.android.app.shealth,2025-02-12 03:03:00+00:00,2025-02-12 02:56:00+00:00,71779.99877929688,300327.51493990974,71.77999877929688,300.32751493990975,7.0
com.sec.android.app.shealth,2025-02-12 04:35:00+00:00,2025-02-12 03:33:00+00:00,557710.0219726562,2333458.732301347,557.7100219726562,2333.4587323013466,62.0
com.sec.android.app.shealth,2025-02-12 04:41:00+00:00,2025-02-12 04:36:00+00:00,40584.999084472656,169807.63619619526,40.584999084472656,169.80763619619526,5.0
com.sec.android.app.shealth,2025-02-13 05:09:00+00:00,2025-02-13 04:09:00+00:00,634530.029296875,2654873.642996533,634.530029296875,2654.873642996533,60.0
com.sec.android.app.shealth,2025-02-14 01:29:00+00:00,2025-02-14 01:18:00+00:00,80000.0,334720.00005275186,80.0,334.72000005275186,11.0
com.sec.android.app.shealth,2025-02-14 03:15:00+00:00,2025-02-14 02:52:00+00:00,172270.00427246094,720777.6979895711,172.27000427246094,720.7776979895712,23.0
com.sec.android.app.shealth,2025-02-14 21:57:00+00:00,2025-02-14 21:45:00+00:00,91000.0,380744.00006000523,91.0,380.74400006000525,12.0
com.sec.android.app.shealth,2025-02-16 06:16:00+00:00,2025-02-16 05:51:00+00:00,202000.0,845168.0001331985,202.0,845.1680001331985,25.0
com.sec.android.app.shealth,2025-02-16 06:52:00+00:00,2025-02-16 06:38:00+00:00,124000.0,518816.0000817654,124.0,518.8160000817654,14.0
com.sec.android.app.shealth,2025-02-16 08:00:00+00:00,2025-02-16 07:41:00+00:00,170000.0,711280.0001120977,170.0,711.2800001120977,19.0
com.sec.android.app.shealth,2025-02-16 08:31:00+00:00,2025-02-16 08:08:00+00:00,168000.0,702912.000110779,168.0,702.9120001107789,23.0
com.sec.android.app.shealth,2025-02-18 03:33:00+00:00,2025-02-18 03:02:00+00:00,345000.0,1443480.0002274925,345.0,1443.4800002274924,31.0
com.sec.android.app.shealth,2025-02-18 04:03:00+00:00,2025-02-18 03:40:00+00:00,224360.00061035156,938722.2427016535,224.36000061035156,938.7222427016535,23.0
com.sec.android.app.shealth,2025-02-19 03:53:00+00:00,2025-02-19 03:18:00+00:00,346739.990234375,1450760.1193692647,346.739990234375,1450.7601193692647,35.0
com.sec.android.app.shealth,2025-02-21 04:16:00+00:00,2025-02-21 03:33:00+00:00,371230.0109863281,1553226.3662115852,371.2300109863281,1553.2263662115854,43.0
com.sec.android.app.shealth,2025-02-22 04:01:00+00:00,2025-02-22 03:26:00+00:00,355000.0,1485320.0002340863,355.0,1485.3200002340864,35.0
com.sec.android.app.shealth,2025-02-22 05:03:00+00:00,2025-02-22 04:33:00+00:00,358230.0109863281,1498834.366203013,358.2300109863281,1498.8343662030131,30.0
com.sec.android.app.shealth,2025-02-23 03:38:00+00:00,2025-02-23 03:01:00+00:00,327730.0109863281,1371222.3661829014,327.7300109863281,1371.2223661829014,37.0
com.sec.android.app.shealth,2025-02-23 03:58:00+00:00,2025-02-23 03:39:00+00:00,197740.00549316406,827344.1831137879,197.74000549316406,827.3441831137878,19.0
com.sec.android.app.shealth,2025-02-24 03:30:00+00:00,2025-02-24 03:07:00+00:00,202070.00732421875,845460.9107777759,202.07000732421875,845.4609107777759,23.0
com.sec.android.app.shealth,2025-02-25 04:14:00+00:00,2025-02-25 03:44:00+00:00,275140.0146484375,1151185.8214704893,275.1400146484375,1151.1858214704894,30.0
com.sec.android.app.shealth,2025-02-25 04:44:00+00:00,2025-02-25 04:14:00+00:00,339859.9853515625,1421974.1789350405,339.8599853515625,1421.9741789350405,30.0
com.sec.android.app.shealth,2025-02-28 04:58:00+00:00,2025-02-28 04:28:00+00:00,293149.9938964844,1226539.5746561931,293.1499938964844,1226.5395746561933,30.0
com.sec.android.app.shealth,2025-03-03 01:34:00+00:00,2025-03-03 01:15:00+00:00,135000.0,564840.0000890187,135.0,564.8400000890188,19.0
com.sec.android.app.shealth,2025-03-03 01:57:00+00:00,2025-03-03 01:45:00+00:00,87000.0,364008.00005736767,87.0,364.00800005736767,12.0
com.sec.android.app.shealth,2025-03-03 07:13:00+00:00,2025-03-03 06:58:00+00:00,111000.0,464424.0000731932,111.0,464.4240000731932,15.0
com.sec.android.app.shealth,2025-03-18 15:34:00+00:00,2025-03-18 15:22:00+00:00,87000.0,364008.00005736767,87.0,364.00800005736767,12.0
com.sec.android.app.shealth,2025-03-18 20:14:00+00:00,2025-03-18 20:00:00+00:00,98000.0,410032.00006462104,98.0,410.03200006462106,14.0
com.sec.android.app.shealth,2025-03-19 01:29:00+00:00,2025-03-19 01:04:00+00:00,194000.0,811696.0001279233,194.0,811.6960001279233,25.0
com.sec.android.app.shealth,2025-03-19 06:34:00+00:00,2025-03-19 06:10:00+00:00,181000.0,757304.0001193511,181.0,757.3040001193511,24.0
com.sec.android.app.shealth,2025-03-20 04:05:00+00:00,2025-03-20 02:49:00+00:00,797919.9829101562,3338497.2090222407,797.9199829101562,3338.497209022241,76.0
com.sec.android.app.shealth,2025-03-21 00:37:00+00:00,2025-03-21 00:24:00+00:00,100000.0,418400.00006593985,100.0,418.4000000659398,13.0
com.sec.android.app.shealth,2025-03-21 05:58:00+00:00,2025-03-21 05:21:00+00:00,416929.99267578125,1744435.0896303917,416.92999267578125,1744.4350896303918,37.0
com.sec.android.app.shealth,2025-03-21 19:06:00+00:00,2025-03-21 18:51:00+00:00,109000.0,456056.0000718744,109.0,456.0560000718744,15.0
com.sec.android.app.shealth,2025-03-22 04:53:00+00:00,2025-03-22 04:22:00+00:00,343000.0,1435112.0002261735,343.0,1435.1120002261737,31.0
com.sec.android.app.shealth,2025-03-24 04:58:00+00:00,2025-03-24 04:27:00+00:00,337790.0085449219,1413313.3959746913,337.7900085449219,1413.3133959746913,31.0
com.sec.android.app.shealth,2025-03-25 04:42:00+00:00,2025-03-25 04:26:00+00:00,149350.00610351562,624880.4256355906,149.35000610351562,624.8804256355905,16.0
com.sec.android.app.shealth,2025-03-25 05:05:00+00:00,2025-03-25 04:45:00+00:00,235000.0,983240.0001549586,235.0,983.2400001549586,20.0
com.sec.android.app.shealth,2025-03-25 05:52:00+00:00,2025-03-25 05:13:00+00:00,340839.9963378906,1426074.5449024837,340.8399963378906,1426.0745449024837,39.0
