app,end,start,totalCaloriesBurned_energy_inKilocalories
com.google.android.apps.fitness,2025-01-21 01:30:00+00:00,2025-01-21 01:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 01:45:00+00:00,2025-01-21 01:30:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 01:45:00+00:00,2025-01-21 01:30:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 01:45:00+00:00,2025-01-21 01:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 02:00:00+00:00,2025-01-21 01:45:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 02:00:00+00:00,2025-01-21 01:45:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 02:00:00+00:00,2025-01-21 02:00:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 02:15:00+00:00,2025-01-21 02:00:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 02:15:00+00:00,2025-01-21 02:00:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 02:15:00+00:00,2025-01-21 02:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 02:30:00+00:00,2025-01-21 02:15:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 02:30:00+00:00,2025-01-21 02:15:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 02:30:00+00:00,2025-01-21 02:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 02:45:00+00:00,2025-01-21 02:30:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 02:45:00+00:00,2025-01-21 02:30:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 02:45:00+00:00,2025-01-21 02:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 03:00:00+00:00,2025-01-21 02:45:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 03:00:00+00:00,2025-01-21 02:45:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 03:00:00+00:00,2025-01-21 03:00:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 03:15:00+00:00,2025-01-21 03:00:00+00:00,23.303232
com.google.android.apps.fitness,2025-01-21 03:15:00+00:00,2025-01-21 03:00:00+00:00,23.303232192993164
com.google.android.apps.fitness,2025-01-21 03:15:00+00:00,2025-01-21 03:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 03:30:00+00:00,2025-01-21 03:15:00+00:00,44.421786000000004
com.google.android.apps.fitness,2025-01-21 03:30:00+00:00,2025-01-21 03:15:00+00:00,44.42178726196289
com.google.android.apps.fitness,2025-01-21 03:30:00+00:00,2025-01-21 03:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 03:45:00+00:00,2025-01-21 03:30:00+00:00,22.332264000000002
com.google.android.apps.fitness,2025-01-21 03:45:00+00:00,2025-01-21 03:30:00+00:00,22.332263946533203
com.google.android.apps.fitness,2025-01-21 03:45:00+00:00,2025-01-21 03:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 04:00:00+00:00,2025-01-21 03:45:00+00:00,51.339933
com.google.android.apps.fitness,2025-01-21 04:00:00+00:00,2025-01-21 03:45:00+00:00,51.33993148803711
com.google.android.apps.fitness,2025-01-21 04:00:00+00:00,2025-01-21 04:00:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 04:15:00+00:00,2025-01-21 04:00:00+00:00,32.284686
com.google.android.apps.fitness,2025-01-21 04:15:00+00:00,2025-01-21 04:00:00+00:00,32.28468704223633
com.google.android.apps.fitness,2025-01-21 04:15:00+00:00,2025-01-21 04:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 04:30:00+00:00,2025-01-21 04:15:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 04:30:00+00:00,2025-01-21 04:15:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 04:30:00+00:00,2025-01-21 04:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 04:45:00+00:00,2025-01-21 04:30:00+00:00,25.245168
com.google.android.apps.fitness,2025-01-21 04:45:00+00:00,2025-01-21 04:30:00+00:00,25.245168685913086
com.google.android.apps.fitness,2025-01-21 04:45:00+00:00,2025-01-21 04:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 05:00:00+00:00,2025-01-21 04:45:00+00:00,70.152438
com.google.android.apps.fitness,2025-01-21 05:00:00+00:00,2025-01-21 04:45:00+00:00,70.15243530273438
com.google.android.apps.fitness,2025-01-21 05:00:00+00:00,2025-01-21 05:00:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 05:15:00+00:00,2025-01-21 05:00:00+00:00,51.704046000000005
com.google.android.apps.fitness,2025-01-21 05:15:00+00:00,2025-01-21 05:00:00+00:00,51.704044342041016
com.google.android.apps.fitness,2025-01-21 05:15:00+00:00,2025-01-21 05:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 05:30:00+00:00,2025-01-21 05:15:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 05:30:00+00:00,2025-01-21 05:15:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 05:30:00+00:00,2025-01-21 05:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 05:45:00+00:00,2025-01-21 05:30:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 05:45:00+00:00,2025-01-21 05:30:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 05:45:00+00:00,2025-01-21 05:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 06:00:00+00:00,2025-01-21 05:45:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 06:00:00+00:00,2025-01-21 05:45:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 06:00:00+00:00,2025-01-21 06:00:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 06:15:00+00:00,2025-01-21 06:00:00+00:00,27.187104
com.google.android.apps.fitness,2025-01-21 06:15:00+00:00,2025-01-21 06:00:00+00:00,27.187103271484375
com.google.android.apps.fitness,2025-01-21 06:15:00+00:00,2025-01-21 06:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 06:30:00+00:00,2025-01-21 06:15:00+00:00,65.17622700000001
com.google.android.apps.fitness,2025-01-21 06:30:00+00:00,2025-01-21 06:15:00+00:00,65.17622375488281
com.google.android.apps.fitness,2025-01-21 06:30:00+00:00,2025-01-21 06:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 06:45:00+00:00,2025-01-21 06:30:00+00:00,45.635496
com.google.android.apps.fitness,2025-01-21 06:45:00+00:00,2025-01-21 06:30:00+00:00,45.635494232177734
com.google.android.apps.fitness,2025-01-21 06:45:00+00:00,2025-01-21 06:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 07:00:00+00:00,2025-01-21 06:45:00+00:00,22.817748
com.google.android.apps.fitness,2025-01-21 07:00:00+00:00,2025-01-21 06:45:00+00:00,22.817747116088867
com.google.android.apps.fitness,2025-01-21 07:00:00+00:00,2025-01-21 07:00:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 07:15:00+00:00,2025-01-21 07:00:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 07:15:00+00:00,2025-01-21 07:00:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 07:15:00+00:00,2025-01-21 07:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 07:30:00+00:00,2025-01-21 07:15:00+00:00,36.896784000000004
com.google.android.apps.fitness,2025-01-21 07:30:00+00:00,2025-01-21 07:15:00+00:00,36.896785736083984
com.google.android.apps.fitness,2025-01-21 07:30:00+00:00,2025-01-21 07:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 07:45:00+00:00,2025-01-21 07:30:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 07:45:00+00:00,2025-01-21 07:30:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 07:45:00+00:00,2025-01-21 07:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 08:00:00+00:00,2025-01-21 07:45:00+00:00,20.147586
com.google.android.apps.fitness,2025-01-21 08:00:00+00:00,2025-01-21 07:45:00+00:00,20.147586822509766
com.fitbit.FitbitMobile,2025-01-21 08:15:00+00:00,2025-01-21 08:00:00+00:00,18.205650000000002
com.google.android.apps.fitness,2025-01-21 08:15:00+00:00,2025-01-21 08:00:00+00:00,18.205650329589844
com.google.android.apps.fitness,2025-01-21 08:15:00+00:00,2025-01-21 08:15:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 08:30:00+00:00,2025-01-21 08:15:00+00:00,39.081462
com.google.android.apps.fitness,2025-01-21 08:30:00+00:00,2025-01-21 08:15:00+00:00,39.08146286010742
com.google.android.apps.fitness,2025-01-21 08:30:00+00:00,2025-01-21 08:30:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 08:45:00+00:00,2025-01-21 08:30:00+00:00,24.031458
com.google.android.apps.fitness,2025-01-21 08:45:00+00:00,2025-01-21 08:30:00+00:00,24.031457901000977
com.google.android.apps.fitness,2025-01-21 08:45:00+00:00,2025-01-21 08:45:00+00:00,1.9121393052046187e-05
com.fitbit.FitbitMobile,2025-01-21 09:00:00+00:00,2025-01-21 08:45:00+00:00,46.606464
com.google.android.apps.fitness,2025-01-21 09:00:00+00:00,2025-01-21 08:45:00+00:00,46.60646438598633
