app,start,steps_count
com.fitbit.FitbitMobile,2025-01-21 04:57:00+00:00,28
com.google.android.apps.fitness,2025-01-21 04:57:00+00:00,28
com.fitbit.FitbitMobile,2025-01-21 04:58:00+00:00,19
com.google.android.apps.fitness,2025-01-21 04:58:00+00:00,19
com.google.android.apps.fitness,2025-01-21 04:59:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 05:01:00+00:00,11
com.google.android.apps.fitness,2025-01-21 05:01:00+00:00,11
com.fitbit.FitbitMobile,2025-01-21 05:02:00+00:00,21
com.google.android.apps.fitness,2025-01-21 05:02:00+00:00,21
com.fitbit.FitbitMobile,2025-01-21 05:03:00+00:00,27
com.google.android.apps.fitness,2025-01-21 05:03:00+00:00,27
com.fitbit.FitbitMobile,2025-01-21 05:04:00+00:00,48
com.google.android.apps.fitness,2025-01-21 05:04:00+00:00,48
com.fitbit.FitbitMobile,2025-01-21 05:05:00+00:00,9
com.google.android.apps.fitness,2025-01-21 05:05:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 05:06:00+00:00,26
com.google.android.apps.fitness,2025-01-21 05:06:00+00:00,26
com.fitbit.FitbitMobile,2025-01-21 05:07:00+00:00,10
com.google.android.apps.fitness,2025-01-21 05:07:00+00:00,3
com.google.android.apps.fitness,2025-01-21 05:07:00+00:00,7
com.fitbit.FitbitMobile,2025-01-21 05:08:00+00:00,9
com.google.android.apps.fitness,2025-01-21 05:08:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 05:09:00+00:00,33
com.google.android.apps.fitness,2025-01-21 05:09:00+00:00,33
com.fitbit.FitbitMobile,2025-01-21 05:10:00+00:00,23
com.google.android.apps.fitness,2025-01-21 05:10:00+00:00,23
com.fitbit.FitbitMobile,2025-01-21 05:11:00+00:00,18
com.google.android.apps.fitness,2025-01-21 05:11:00+00:00,18
com.fitbit.FitbitMobile,2025-01-21 05:12:00+00:00,27
com.google.android.apps.fitness,2025-01-21 05:12:00+00:00,27
com.fitbit.FitbitMobile,2025-01-21 05:13:00+00:00,40
com.google.android.apps.fitness,2025-01-21 05:13:00+00:00,25
com.google.android.apps.fitness,2025-01-21 05:14:00+00:00,15
com.google.android.apps.fitness,2025-01-21 05:14:00+00:00,24
com.fitbit.FitbitMobile,2025-01-21 06:06:00+00:00,1
com.google.android.apps.fitness,2025-01-21 06:06:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 06:07:00+00:00,12
com.google.android.apps.fitness,2025-01-21 06:07:00+00:00,12
com.google.android.apps.fitness,2025-01-21 06:08:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 06:12:00+00:00,1
com.google.android.apps.fitness,2025-01-21 06:12:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 06:13:00+00:00,11
com.google.android.apps.fitness,2025-01-21 06:13:00+00:00,11
com.fitbit.FitbitMobile,2025-01-21 06:14:00+00:00,6
com.google.android.apps.fitness,2025-01-21 06:14:00+00:00,6
com.fitbit.FitbitMobile,2025-01-21 06:15:00+00:00,95
com.google.android.apps.fitness,2025-01-21 06:15:00+00:00,95
com.fitbit.FitbitMobile,2025-01-21 06:16:00+00:00,79
com.google.android.apps.fitness,2025-01-21 06:16:00+00:00,79
com.fitbit.FitbitMobile,2025-01-21 06:17:00+00:00,90
com.google.android.apps.fitness,2025-01-21 06:17:00+00:00,90
com.fitbit.FitbitMobile,2025-01-21 06:18:00+00:00,22
com.google.android.apps.fitness,2025-01-21 06:18:00+00:00,22
com.fitbit.FitbitMobile,2025-01-21 06:19:00+00:00,22
com.google.android.apps.fitness,2025-01-21 06:19:00+00:00,10
com.google.android.apps.fitness,2025-01-21 06:19:00+00:00,12
com.fitbit.FitbitMobile,2025-01-21 06:20:00+00:00,28
com.google.android.apps.fitness,2025-01-21 06:20:00+00:00,28
com.fitbit.FitbitMobile,2025-01-21 06:21:00+00:00,51
com.google.android.apps.fitness,2025-01-21 06:21:00+00:00,51
com.fitbit.FitbitMobile,2025-01-21 06:22:00+00:00,25
com.google.android.apps.fitness,2025-01-21 06:22:00+00:00,25
com.fitbit.FitbitMobile,2025-01-21 06:23:00+00:00,16
com.google.android.apps.fitness,2025-01-21 06:23:00+00:00,16
com.fitbit.FitbitMobile,2025-01-21 06:25:00+00:00,2
com.google.android.apps.fitness,2025-01-21 06:25:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 06:26:00+00:00,15
com.google.android.apps.fitness,2025-01-21 06:26:00+00:00,15
com.fitbit.FitbitMobile,2025-01-21 06:27:00+00:00,21
com.google.android.apps.fitness,2025-01-21 06:27:00+00:00,21
com.fitbit.FitbitMobile,2025-01-21 06:28:00+00:00,13
com.google.android.apps.fitness,2025-01-21 06:28:00+00:00,13
com.fitbit.FitbitMobile,2025-01-21 06:29:00+00:00,6
com.google.android.apps.fitness,2025-01-21 06:29:00+00:00,6
com.fitbit.FitbitMobile,2025-01-21 06:30:00+00:00,14
com.google.android.apps.fitness,2025-01-21 06:30:00+00:00,14
com.fitbit.FitbitMobile,2025-01-21 06:31:00+00:00,28
com.google.android.apps.fitness,2025-01-21 06:31:00+00:00,28
com.fitbit.FitbitMobile,2025-01-21 06:32:00+00:00,15
com.google.android.apps.fitness,2025-01-21 06:32:00+00:00,15
com.fitbit.FitbitMobile,2025-01-21 06:33:00+00:00,50
com.google.android.apps.fitness,2025-01-21 06:33:00+00:00,50
com.fitbit.FitbitMobile,2025-01-21 06:34:00+00:00,54
com.google.android.apps.fitness,2025-01-21 06:34:00+00:00,54
com.fitbit.FitbitMobile,2025-01-21 06:35:00+00:00,46
com.google.android.apps.fitness,2025-01-21 06:35:00+00:00,46
com.fitbit.FitbitMobile,2025-01-21 06:36:00+00:00,25
com.google.android.apps.fitness,2025-01-21 06:36:00+00:00,18
com.google.android.apps.fitness,2025-01-21 06:37:00+00:00,7
com.fitbit.FitbitMobile,2025-01-21 06:37:00+00:00,10
com.google.android.apps.fitness,2025-01-21 06:37:00+00:00,10
com.fitbit.FitbitMobile,2025-01-21 06:38:00+00:00,15
com.google.android.apps.fitness,2025-01-21 06:38:00+00:00,15
com.google.android.apps.fitness,2025-01-21 06:39:00+00:00,12
com.fitbit.FitbitMobile,2025-01-21 06:41:00+00:00,2
com.google.android.apps.fitness,2025-01-21 06:41:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 06:42:00+00:00,3
com.google.android.apps.fitness,2025-01-21 06:42:00+00:00,3
com.google.android.apps.fitness,2025-01-21 06:43:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 06:47:00+00:00,4
com.google.android.apps.fitness,2025-01-21 06:47:00+00:00,4
com.fitbit.FitbitMobile,2025-01-21 06:48:00+00:00,35
com.google.android.apps.fitness,2025-01-21 06:48:00+00:00,35
com.google.android.apps.fitness,2025-01-21 06:49:00+00:00,14
com.google.android.apps.fitness,2025-01-21 06:49:00+00:00,4
com.fitbit.FitbitMobile,2025-01-21 07:20:00+00:00,9
com.google.android.apps.fitness,2025-01-21 07:20:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 07:21:00+00:00,53
com.google.android.apps.fitness,2025-01-21 07:21:00+00:00,53
com.fitbit.FitbitMobile,2025-01-21 07:22:00+00:00,14
com.google.android.apps.fitness,2025-01-21 07:22:00+00:00,14
com.fitbit.FitbitMobile,2025-01-21 07:23:00+00:00,26
com.google.android.apps.fitness,2025-01-21 07:23:00+00:00,26
com.fitbit.FitbitMobile,2025-01-21 07:24:00+00:00,31
com.google.android.apps.fitness,2025-01-21 07:24:00+00:00,31
com.fitbit.FitbitMobile,2025-01-21 07:25:00+00:00,34
com.google.android.apps.fitness,2025-01-21 07:25:00+00:00,34
com.fitbit.FitbitMobile,2025-01-21 07:26:00+00:00,32
com.google.android.apps.fitness,2025-01-21 07:26:00+00:00,32
com.google.android.apps.fitness,2025-01-21 07:27:00+00:00,9
com.google.android.apps.fitness,2025-01-21 07:27:00+00:00,11
com.fitbit.FitbitMobile,2025-01-21 07:51:00+00:00,11
com.google.android.apps.fitness,2025-01-21 07:51:00+00:00,11
com.fitbit.FitbitMobile,2025-01-21 07:52:00+00:00,24
