app,end,start,floorsClimbed_floors,floorsClimbed_total_time
com.fitbit.FitbitMobile,2025-02-13 08:02:00+00:00,2025-02-13 08:01:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-13 09:16:00+00:00,2025-02-13 09:15:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-14 08:16:00+00:00,2025-02-14 08:15:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-14 08:20:00+00:00,2025-02-14 08:19:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-14 08:32:00+00:00,2025-02-14 08:31:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-14 14:45:00+00:00,2025-02-14 14:44:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-14 15:26:00+00:00,2025-02-14 15:25:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-14 16:07:00+00:00,2025-02-14 16:06:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-14 16:19:00+00:00,2025-02-14 16:18:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-14 16:35:00+00:00,2025-02-14 16:34:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-15 05:25:00+00:00,2025-02-15 05:24:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-15 05:35:00+00:00,2025-02-15 05:34:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-15 07:37:00+00:00,2025-02-15 07:36:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-15 08:49:00+00:00,2025-02-15 08:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-15 09:25:00+00:00,2025-02-15 09:24:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-15 17:55:00+00:00,2025-02-15 17:54:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-16 04:16:00+00:00,2025-02-16 04:15:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-16 10:12:00+00:00,2025-02-16 10:11:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-16 12:33:00+00:00,2025-02-16 12:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-16 18:13:00+00:00,2025-02-16 18:12:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-16 18:30:00+00:00,2025-02-16 18:29:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 05:28:00+00:00,2025-02-17 05:27:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 06:52:00+00:00,2025-02-17 06:51:00+00:00,1,1.0
