,video_id,title,category,contains_clickbait,exclamation_count,is_series,has_negative_impact,negative_aspects
78,92,who is the most nonchalant? 🤔,Technology,False,0,False,False,[]
79,93,https://www.youtube.com/watch?v=ygFCrX2t73Y,Entertainment,False,0,False,False,[]
80,94,THIS is what it's all about | Pokemon card vendor POV #pokemon #pokemoncard #wholesome,Entertainment,False,0,False,False,[]
81,95,A DEALS A DEAL👑🤝❤️ #fortnite #gaming,Gaming,False,0,False,False,[]
82,96,Difference Between a Million and a Billion,Technology,False,0,False,False,[]
83,97,Do you now understand how gangsters used to select their cars in the past?😂😂 #carmemes #funny #cars,Entertainment,False,0,False,False,[]
84,98,🔴 NEW FORTNITE RELOAD UPDATE,News,False,0,False,False,[]
85,99,Katy Perry ACTUALLY said this.. 🤣💀,News,False,0,False,False,[]
86,100,No way Fousey gets WARNED by Dubai Royal  Family House of Maktoum NOT to Flim the Ruler of UAE 😳😮,News,False,0,False,False,[]
87,101,Alex will be Haley’s math tutor soon 😉 #ModernFamily #HaleyDunphy #AlexDunphy #Shorts,Shorts,False,0,False,False,[]
88,102,The Greatest Fortnite Clip of All Time.,Gaming,False,0,False,False,[]
89,103,This powerful man is so handsome #shorts #shortvideo #viralvideo #movie #short,Shorts,False,0,False,False,[]
90,104,Snoop Dogg Reacts to Serena Williams Crip Walk,News,False,0,False,False,[]
91,105,How to turn invisible in Fortnite,Gaming,False,0,False,False,[]
92,106,A Family Goes On Vacation for 2 Weeks-- What happens?,Shorts,False,0,False,False,[]
93,108,Peterbot Cooked Clix…,Gaming,False,0,False,False,[]
94,109,Man discovers new rubiks cube solution,Technology,False,0,False,False,[]
95,110,She immediately realized what was happening😏,Entertainment,False,0,False,False,[]
96,111,The Best Place In Dubai | Alex Chen,Podcast,False,0,False,False,[]
97,112,DO NOT CONTEST MONGRAAL,Tutorial,False,0,False,False,[]
98,113,Fortnite's BANNED Skin is BACK!,Gaming,False,0,False,False,[]
99,23,Waalian,Entertainment,False,0,False,False,[]
